Name,Followers
pewdiepie,"829,089"
tugaygokyt,"490,445"
hazretiyasuo,"363,566"
atadogann,"338,662"
neotoprak,"172,639"
barisozcan,"161,065"
abbasyanbasan,"152,406"
mertcanbahar,"134,225"
enesbatur,"132,708"
fatihsayar,"113,093"
egoistpati,"107,812"
cinavar,"80,061"
elanur,"72,194"
esportstr,"71,869"
mezarci,"69,577"
doch,"69,482"
cellatiniz,"68,991"
oguzaslan,"68,808"
enesavciyt,"67,270"
dlive,"62,294"
hizlivecilgin,"62,273"
philgodlewski,"60,860"
thesaltycracker,"60,839"
pewdiepie-replay,"59,252"
deniztoma,"57,386"
nickjfuentes,"55,038"
muhammetyt,"54,087"
technopatates,"50,987"
redjepi,"50,820"
mirai,"49,016"
nadexe,"47,726"
alihansapmaz,"47,385"
buko,"47,360"
matthdgamer,"46,348"
xmrsaura,"43,014"
ceren,"42,280"
eren,"41,886"
getawaydriver,"41,612"
busutv,"41,431"
erenaytuncel,"41,332"
benfatik,"41,311"
acunn,"39,839"
marfooglenews,"38,619"
oaonair,"38,283"
samueleckert,"38,268"
mocker,"37,972"
kobelyuss,"37,894"
ilovewinter,"37,405"
burakkuloglu,"36,785"
vonsofficial,"36,179"
toska,"36,061"
kuzeyn,"35,935"
voilal,"35,167"
serenayaka,"34,566"
y4k7t,"34,213"
bitteltv,"33,717"
paranoidyoutube,"33,481"
kursat,"33,433"
teuf,"33,269"
fozee,"33,147"
psb,"32,704"
porcays,"31,682"
dahboo7,"31,481"
jin,"30,594"
funnyhoodvidz,"30,046"
lutz,"29,752"
owenbenjamincomedy,"29,744"
xposed,"29,565"
seraozmay,"29,431"
snnkcl,"28,950"
theralphretort,"27,177"
blanked,"26,895"
yarenbasyigit,"26,565"
blondebixi,"26,249"
candravero,"26,103"
foss,"25,996"
secobuya,"25,901"
foxer,"25,892"
mamis,"25,653"
primeedd,"25,222"
boschimo,"25,208"
cuneytozdemir,"24,898"
gamebedel,"24,788"
redpill78,"24,567"
x-acs,"24,397"
geldibaskan,"24,354"
iryna,"24,042"
classybeef,"24,005"
samikabinli,"23,947"
zilanladysenso,"23,837"
digitalerchronist,"23,622"
chief117,"23,476"
captainatx,"23,458"
redmans,"23,203"
bay.ciddi,"22,994"
roobet,"22,831"
cemalmeseyt,"22,676"
umurafan,"22,639"
megasound,"22,482"
lapeceratonta,"22,346"
burakgungor,"22,311"
zikzira,"22,276"
moesargi,"22,234"
coffin,"21,820"
basakozturkyt,"21,648"
iboyum,"21,173"
axpockaw,"21,127"
yeisso,"20,824"
gameower2,"20,514"
serkandag,"20,419"
luthien,"20,379"
vincentjames,"20,293"
forzaa,"20,144"
freyalive,"20,045"
pembepill,"20,039"
leyla,"19,955"
solkay,"19,906"
isyandert,"19,794"
quitefranklytv,"19,706"
ezgican,"19,616"
woxier,"19,567"
strabon,"19,509"
ssethtzeentach,"19,425"
ltzonda,"19,394"
hellohashi,"19,359"
hankanal,"19,128"
loopoo,"19,088"
halilsoyletmez,"19,087"
lafibugra,"19,065"
gamewars,"18,932"
canozdogan,"18,907"
yunus,"18,824"
homekoworld,"18,801"
muhammetkibar,"18,628"
yagizsabuncuoglu,"18,303"
mobiladam,"18,300"
benayaydin,"18,159"
tammanyak,"18,157"
tidylabs,"18,139"
juicyspins,"18,088"
nurcananne,"17,814"
taskafa,"17,804"
syztmz,"17,763"
w4silii,"17,625"
youlost,"17,578"
businessdayi,"17,431"
holythoth,"17,398"
oyunkonsolu,"17,380"
syreni,"17,197"
kawa,"17,188"
ramaaska,"17,154"
hayrettindestan,"17,104"
farwaymid,"17,021"
enforcerj,"16,976"
cab7ben,"16,963"
vitapvpey,"16,887"
cangurlek,"16,818"
adamdegilsiniz,"16,710"
koinvizyon,"16,619"
typeryoutube0,"16,607"
redicetv,"16,535"
roundel,"16,527"
tron,"16,500"
fragnatictv,"16,484"
emuche53,"16,422"
halilorenler,"16,395"
kiesay,"16,314"
realstiannorway,"16,279"
69yilan,"16,274"
chrisshang,"16,248"
theyourko2,"16,188"
agusbob,"16,178"
anemikvampir,"16,042"
bakedalaska,"16,022"
unitynews,"15,851"
r3dslayer,"15,847"
justmyko2021,"15,758"
hozikman,"15,676"
ornoti,"15,607"
nejdatdelioglu,"15,503"
xfrezyy,"15,491"
afyaa,"15,470"
madalin,"15,369"
damladige,"14,888"
patrickcasey,"14,806"
fatiq,"14,792"
nisahsen,"14,690"
ignazbearth,"14,632"
outlaw,"14,607"
kizilpati,"14,505"
jadenmcneil,"14,386"
wocean,"14,283"
dlivetr,"14,241"
ikizler,"14,206"
emerickbs,"14,167"
sezaryeking,"14,059"
martinsellner,"14,054"
thedoctor,"14,006"
alinagodorov,"13,972"
hulyadogan35,"13,956"
