Name,Followers
Instagram,"669,669,449"
Cristiano Ronaldo,"622,335,698"
Leo Messi,"499,748,580"
Selena Gomez,"429,910,561"
Kylie,"400,477,343"
Dwayne Johnson,"397,273,232"
Ariana Grande,"380,300,010"
Kim Kardashian,"364,327,893"
Beyoncé,"320,001,898"
Khloé Kardashian,"310,907,782"
Nike,"306,949,743"
Kendall,"294,712,091"
Justin Bieber,"293,092,988"
National Geographic,"284,304,372"
Taylor Swift,"281,769,881"
Virat Kohli,"266,547,523"
Jennifer Lopez,"253,647,937"
Barbie,"229,340,053"
Kourtney Kardashian Barker,"224,458,606"
Neymar Jr,"219,723,921"
Miley Cyrus,"217,017,609"
KATY PERRY,"206,855,155"
Zendaya,"184,796,682"
Kevin Hart,"180,289,816"
Cardi B,"169,200,155"
kingjames,"159,783,222"
Demi Lovato,"157,400,436"
Real Madrid C.F.,"153,215,632"
badgalriri,"152,236,368"
champagnepapi,"145,876,367"
BROWN,"145,419,598"
Ellen DeGeneres,"139,736,305"
FC Barcelona,"125,605,442"
UEFA Champions League,"113,520,951"
Kylian Mbappé,"112,186,571"
BILLIE EILISH,"110,269,763"
Gal Gadot,"109,187,187"
NASA,"97,908,590"
Priyanka,"90,637,624"
Shakira,"90,585,304"
DUA LIPA,"88,672,754"
Shraddha Kapoor,"87,472,376"
Narendra Modi,"87,050,202"
David Beckham,"87,001,730"
NBA,"86,368,123"
snoopdogg,"85,523,223"
jennierubyjane,"83,605,825"
Alia Bhatt ?,"83,029,453"
Khaby Lame,"79,813,958"
Katrina Kaif,"79,610,846"
दीपिका पादुक…,"78,593,930"
Gigi Hadid,"78,481,193"
Neha Kakkar,"77,543,899"
JISOO?,"77,505,335"
ROSÉ,"76,438,108"
Victoria's Secret,"76,270,273"
Karim Benzema,"75,724,998"
Ronaldo de Assis Moreira,"75,662,734"
Emma Watson,"75,388,295"
Raffi Ahmad and Nagita Slavina,"75,094,673"
BTS official,"74,404,865"
Shawn Mendes,"73,129,523"
Premier League,"72,910,720"
Justin Timberlake,"72,451,134"
Abel Tesfaye,"72,394,182"
433,"71,061,284"
Urvashi Rautela,"70,371,640"
Salman Khan,"69,086,019"
Jacqueliene Fernandez,"68,720,356"
KAROL G,"68,156,636"
Akshay Kumar,"67,946,478"
Marcelo Vieira,"67,423,600"
AnushkaSharma1588,"67,224,678"
Marvel Entertainment,"67,023,243"
camila,"66,380,026"
Paris Saint-Germain,"65,146,757"
Anitta ?,"65,128,438"
Will Smith,"64,915,668"
Zlatan Ibrahimović,"64,370,698"
thv,"64,137,391"
MALUMA,"63,922,207"
Mohamed Salah,"63,463,361"
Manchester United,"63,379,764"
Millie Bobby Brown,"62,985,697"
Sergio Ramos,"62,741,043"
Leonardo DiCaprio,"62,213,468"
Zac Efron,"62,103,153"
ZARA,"61,476,952"
Paul Labile Pogba,"61,351,262"
disha patani (paatni) ?,"60,979,482"
Bella ?,"60,930,034"
Juventus,"60,363,341"
CHANEL,"59,863,334"
Whindersson Nunes,"59,543,440"
Chris Hemsworth,"58,496,467"
Paulo Dybala,"58,117,747"
Joko Widodo,"57,970,490"
BLΛƆKPIИK,"57,884,751"
Michelle Obama,"57,385,442"
9GAG: Go Fun The World,"57,332,081"
Georgina Rodríguez,"57,293,838"
Tata Werneck,"57,226,229"
Robert Downey Jr.,"56,940,229"
SIFRA,"56,833,108"
Ayu Tingting,"56,766,751"
Adele,"56,505,799"
Lady Gaga,"56,450,518"
Wardell Curry,"56,250,971"
Prilly Latuconsina,"55,529,759"
Louis Vuitton,"55,270,691"
Sunny Leone,"55,204,021"
flame,"54,655,802"
Burak Özdemir,"54,594,980"
HUDA BEAUTY,"54,181,283"
Larissa Manoela,"54,100,995"
Nusr_et#Saltbae,"53,980,207"
Lele Pons,"53,719,269"
JIMIN,"53,253,132"
Gareth Bale,"53,182,612"
Kris Jenner,"52,708,402"
GUCCI,"52,362,649"
Zayn Malik,"52,154,319"
James Rodríguez,"51,952,112"
House of Highlights,"51,730,014"
Ryan Reynolds,"51,308,739"
?Vanessa Hudgens?,"51,281,418"
Manchester City,"51,259,991"
J Balvin,"51,133,908"
Hailey Rhode Baldwin Bieber,"51,026,446"
MrBeast,"50,406,807"
Daddy Yankee,"50,106,665"
Jannat Zubair Rahmani,"49,017,489"
jhope,"48,888,077"
Luis Suárez,"48,857,169"
SUGA of BTS 민윤기,"48,573,931"
+A,"48,321,652"
LALIGA,"48,024,011"
Jin of BTS,"48,006,028"
DOVE,"47,947,591"
Vogue,"47,881,275"
WorldStar Hip Hop / WSHH,"47,872,489"
Hrithik Roshan,"47,578,764"
Sachin Tendulkar,"47,282,541"
Conor McGregor Official,"47,236,497"
National Geographic Travel,"47,132,061"
Ed Sheeran,"47,039,563"
VarunDhawan,"46,910,401"
M S Dhoni,"46,747,340"
FIFA World Cup,"46,740,287"
Ranveer Singh,"46,737,864"
Nora Fatehi,"46,593,622"
Benito,"46,511,027"
Tasty,"46,252,058"
Shah Rukh Khan,"46,230,935"
Nike Football (Soccer),"46,076,894"
Chris Pratt,"45,984,534"
Virginia Fonseca Costa,"45,927,730"
Dior Official,"45,818,180"
Shahid Kapoor,"45,779,251"
RM,"45,616,718"
Kapil Sharma,"45,467,500"
Jennifer Aniston,"45,337,759"
Bruna Marquezine,"45,183,442"
Ruben Onsu,"45,141,615"
charli,"45,004,259"
Sara Ali Khan,"44,751,460"
T-Raww,"44,699,520"
Blake Lively,"44,607,383"
5-Minute Crafts,"44,589,380"
Vinicius Jr. ⚡️??,"44,582,981"
Gusttavo Lima,"44,574,954"
Liverpool Football Club,"44,481,487"
Toni Kroos,"44,477,246"
parineetichopra,"44,381,421"
El perfil,"44,099,275"
SYAHRINI,"44,092,567"
Andres Iniesta,"43,464,759"
zidane,"43,400,202"
Natasha Wilona,"43,345,923"
chrissy teigen,"42,733,994"
차은우,"42,650,865"
KATHERINE LANGFORD,"42,228,368"
Marina Ruy Barbosa,"42,132,121"
Cara Delevingne,"42,131,359"
Rashmika Mandanna,"41,920,538"
Antoine Griezmann,"41,719,788"
Chelsea FC,"41,688,792"
Marilia Mendonça,"41,662,509"
FC Bayern,"41,555,095"
Marshall Mathers,"41,357,222"
Wiz Khalifa,"40,599,533"
UFC,"40,254,783"
Wesley Safadão,"40,109,080"
French Montana,"39,758,388"
Laudya Cynthia Bella,"39,751,526"
Nancy Ajram,"39,603,608"
Anushka Sen,"39,586,447"
Antonela Roccuzzo,"39,462,745"
Tiger Shroff,"39,417,968"
Jenna Ortega,"39,182,530"
Gisella Anastasia,"39,112,687"
Disney,"38,873,573"
KIM LOAIZA ?,"38,678,774"
SportsCenter,"38,551,162"
Simone Mendes,"38,541,087"
H&M,"38,415,033"
Erling Braut Haaland,"38,390,075"
“REAL HASTA LA MUERTE”,"38,387,526"
DJ KHALED,"38,367,474"
BMW,"38,298,202"
Madhuri Dixit,"38,242,535"
Mercedes-Benz,"38,236,707"
Luna Maya,"38,123,397"
Madison Beer,"37,891,168"
raisa6690,"37,799,976"
Becky G,"37,794,958"
Marvel Studios,"37,602,598"
Amitabh Bachchan,"37,440,042"
Netflix Brasil,"37,254,303"
Pubity,"37,244,867"
Veveta,"36,713,864"
