Name,Followers
Khabane lame,"161,500,000"
charli d’amelio,"152,000,000"
Bella Poarch,"93,800,000"
MrBeast,"93,300,000"
Addison Rae,"88,600,000"
Zach King,"80,900,000"
Kimberly Loaiza,"80,800,000"
TikTok,"78,900,000"
cznburak,"74,600,000"
The Rock,"74,200,000"
Will Smith,"74,100,000"
domelipa,"72,700,000"
BTS,"64,200,000"
Selena Gomez,"59,000,000"
Jason Derulo,"58,000,000"
dixie,"56,400,000"
Kylie Jenner,"54,900,000"
Spencer X,"54,800,000"
バヤシ🥑Bayashi,"54,100,000"
YZ,"54,000,000"
Loren Gray,"53,900,000"
HOMA,"52,700,000"
Michael Le,"51,700,000"
Karol G,"51,400,000"
WILLIE SALIM,"51,200,000"
BILLIE EILISH,"51,000,000"
Kris HC,"50,600,000"
blackpinkofficial,"47,800,000"
Brent Rivera,"47,500,000"
Riyaz,"46,200,000"
Carlos Feria,"46,000,000"
JoJo Siwa,"45,500,000"
ESPN,"45,100,000"
VILMEI✨,"44,800,000"
Pongámoslo a Prueba,"44,500,000"
Junya/じゅんや,"44,100,000"
Joe,"43,800,000"
Ria Ricis,"43,800,000"
ROD🫠,"43,000,000"
avani,"42,700,000"
Niana Guerrero,"42,400,000"
ROSÉ,"42,100,000"
XO Team,"41,400,000"
psg,"41,300,000"
Аnokhina Liza,"40,500,000"
Real Madrid C.F.,"39,800,000"
noelgoescrazy,"39,200,000"
Lucas and Marcus,"38,900,000"
Montpantoja,"38,900,000"
James Charles,"38,500,000"
Shakira,"38,300,000"
tuzelity,"38,100,000"
Scott 🔥,"38,000,000"
katteyes,"38,000,000"
Netflix,"37,600,000"
Mia K.,"37,600,000"
Virginia,"37,600,000"
ondy mikula,"37,500,000"
Champions League,"37,500,000"
Its.michhh🐈‍⬛,"37,300,000"
BRIANDA 💖,"36,900,000"
spider_slack,"36,900,000"
Kika Kim,"36,500,000"
BabyAriel,"36,400,000"
KEEMOKAZI,"36,100,000"
Q Park,"36,000,000"
Barstool Sports,"35,900,000"
Ruben Tuesta,"35,800,000"
wigofellas,"35,700,000"
Gil Croes,"35,500,000"
JD Pantoja,"35,200,000"
kyle thomas 🌿,"35,100,000"
Kevin Hart,"34,800,000"
Kirya Kolesnikov,"34,600,000"
arianagrande,"34,200,000"
Tottenham Hotspur,"34,200,000"
Benji Krol,"34,100,000"
Devon Rodriguez,"33,700,000"
noah beck,"33,400,000"
ThatLittlePuff,"33,400,000"
fcbarcelona,"32,600,000"
La Rosalia,"32,600,000"
Merrick,"32,500,000"
Emir Abdul Gani,"32,300,000"
Faisal shaikh,"32,100,000"
Alejandro Nieto,"32,200,000"
Enejota,"32,100,000"
Lele Pons,"31,900,000"
Bad Bunny,"31,900,000"
Noah Schnapp,"31,700,000"
Topper Guild,"31,700,000"
Indi skovar,"31,600,000"
Brooke Monk,"31,400,000"
Kunno,"31,400,000"
Jeison Giraldo,"31,400,000"
Kira Kosarin,"31,300,000"
omari.to,"31,300,000"
Ignacia Antonia👑,"31,200,000"
Huddy,"31,200,000"
Tirullipa,"31,100,000"
juventus,"31,000,000"
Stokes Twins,"30,900,000"
Daniel LaBelle,"30,700,000"
Camilo,"30,500,000"
