Name,Followers
elonmusk,"173,376,842"
BarackObama,"131,923,270"
justinbieber,"111,259,177"
Cristiano,"110,580,287"
rihanna,"108,152,388"
katyperry,"106,781,627"
narendramodi,"95,618,392"
taylorswift13,"95,301,206"
realDonaldTrump,"87,449,115"
ArianaGrande,"85,268,269"
ladygaga,"83,607,140"
YouTube,"79,775,140"
NASA,"79,354,236"
KimKardashian,"75,195,866"
EllenDeGeneres,"74,688,788"
X,"67,596,385"
selenagomez,"66,445,237"
BillGates,"64,334,049"
cnnbrk,"63,939,777"
neymarjr,"63,266,182"
CNN,"62,219,593"
jtimberlake,"61,092,932"
imVkohli,"61,113,803"
PMOIndia,"55,869,467"
nytimes,"55,246,655"
britneyspears,"54,934,102"
shakira,"53,657,740"
KingJames,"52,856,307"
ddlovato,"52,784,058"
BBCBreaking,"51,785,326"
ChampionsLeague,"50,965,428"
espn,"50,331,515"
realmadrid,"50,077,473"
jimmyfallon,"50,037,257"
SrBachchan,"48,811,051"
FCBarcelona,"48,623,225"
BTS_twt,"48,600,674"
akshaykumar,"46,527,246"
MileyCyrus,"46,382,880"
BeingSalmanKhan,"45,586,451"
NBA,"45,504,274"
JLo,"44,759,638"
iamsrk,"44,046,316"
bts_bighit,"43,956,373"
premierleague,"43,074,212"
SportsCenter,"42,903,267"
BrunoMars,"42,502,122"
Oprah,"41,887,046"
BBCWorld,"40,639,652"
NiallOfficial,"40,191,503"
KylieJenner,"40,043,130"
sachin_rt,"39,754,234"
Drake,"39,358,475"
JoeBiden,"37,866,179"
ManUtd,"37,638,984"
Harry_Styles,"37,475,158"
KevinHart4real,"36,867,260"
wizkhalifa,"36,163,512"
PlayStation,"35,334,884"
Louis_Tomlinson,"35,146,442"
NFL,"34,914,380"
AmitShah,"34,523,258"
LilTunechi,"34,373,094"
POTUS,"34,216,313"
LiamPayne,"33,352,834"
SpaceX,"33,338,862"
iamcardib,"33,316,485"
instagram,"33,314,121"
iHrithik,"32,354,547"
kanyewest,"32,138,529"
POTUS45,"32,025,688"
KendallJenner,"31,780,238"
chrisbrown,"31,542,018"
Google,"31,469,160"
HillaryClinton,"31,214,988"
Pink,"30,727,947"
zaynmalik,"30,341,536"
khloekardashian,"30,217,194"
onedirection,"30,156,925"
NetflixBrasil,"29,505,391"
aliciakeys,"29,414,782"
NatGeo,"29,297,726"
KAKA,"29,215,790"
MrBeast,"28,717,802"
NICKIMINAJ,"28,161,960"
myogiadityanath,"27,674,685"
priyankachopra,"27,645,815"
ConanOBrien,"27,618,356"
whindersson,"27,412,423"
EmmaWatson,"27,384,199"
ArvindKejriwal,"27,379,245"
TheEconomist,"27,319,595"
BIGHIT_MUSIC,"27,305,684"
Adele,"27,280,422"
deepikapadukone,"26,827,714"
aamir_khan,"26,777,018"
kourtneykardash,"26,427,141"
M10,"26,360,057"
ShawnMendes,"26,010,060"
Reuters,"25,758,291"
ChelseaFC,"25,493,710"
andresiniesta8,"25,293,363"
RahulGandhi,"24,992,181"
ActuallyNPH,"24,500,533"
arrahman,"24,460,037"
FoxNews,"24,411,361"
WhiteHouse45,"24,349,278"
pitbull,"24,348,210"
LFC,"24,320,508"
rashtrapatibhvn,"24,139,909"
rajnathsingh,"24,049,618"
virendersehwag,"23,703,036"
BCCI,"23,508,528"
coldplay,"23,386,466"
AnushkaSharma,"23,385,527"
danieltosh,"23,170,817"
Xbox,"22,926,936"
ImRo45,"22,782,004"
netflix,"22,617,132"
AlArabiya_Brk,"22,536,998"
CNNEE,"22,461,935"
Arsenal,"22,248,618"
Eminem,"22,219,129"
ICC,"22,200,543"
MichelleObama,"22,116,687"
AJArabic,"22,032,145"
Rubiu5,"21,888,623"
aajtak,"21,860,832"
aliaa08,"21,752,362"
detikcom,"21,690,146"
FCBarcelona_es,"21,676,302"
Tesla,"21,639,279"
MariahCarey,"21,634,482"
10Ronaldinho,"21,580,428"
VancityReynolds,"21,538,457"
BJP4India,"21,507,970"
ImRaina,"21,489,905"
RTErdogan,"21,347,238"
Benzema,"21,007,526"
KDTrey5,"20,988,757"
SnoopDogg,"20,782,433"
Zendaya,"20,773,593"
SaudiNews50,"20,745,130"
3gerardpique,"20,686,424"
WSJ,"20,658,255"
ImranKhanPTI,"20,599,853"
auronplay,"20,537,704"
Dr_alqarnee,"20,515,198"
jokowi,"20,516,765"
AnupamPKher,"20,431,326"
SergioRamos,"20,360,738"
FiersaBesari,"20,271,467"
washingtonpost,"20,068,294"
KapilSharmaK9,"20,017,150"
FabrizioRomano,"20,004,215"
AvrilLavigne,"19,991,146"
ricky_martin,"19,921,119"
Forbes,"19,852,979"
KamalaHarris,"19,835,116"
AlejandroSanz,"19,636,174"
davidguetta,"19,598,831"
Anitta,"19,513,610"
RockstarGames,"19,446,760"
TIME,"19,372,268"
pewdiepie_legacy,"19,342,419"
yadavakhilesh,"19,246,133"
blakeshelton,"19,198,164"
LeoDiCaprio,"19,114,736"
GarethBale11,"19,055,398"
MohamadAlarefe,"18,958,846"
JimCarrey,"18,922,250"
jamesdrodriguez,"18,864,856"
MoSalah,"18,837,512"
Pontifex_es,"18,789,236"
StephenAtHome,"18,724,864"
Pontifex,"18,653,776"
DalaiLama,"18,641,881"
Marvel,"18,557,374"
shugairi,"18,160,986"
ndtv,"17,862,643"
ABC,"17,859,198"
FortniteGame,"17,847,625"
LuisSuarez9,"17,718,443"
RobertDowneyJr,"17,670,967"
AlMosahf,"17,638,460"
agnezmo,"17,548,009"
StephenCurry30,"17,519,319"
ManCity,"17,465,765"
realmadriden,"17,437,538"
MTV,"17,416,638"
karanjohar,"17,262,323"
theweeknd,"17,236,714"
DaniloGentili,"17,229,834"
TheRock,"17,150,526"
9GAG,"17,130,070"
BleacherReport,"17,072,176"
daddy_yankee,"17,032,298"
edsheeran,"17,029,684"
ivetesangalo,"17,008,582"
WayneRooney,"16,986,558"
FALCAO,"16,978,663"
felipeneto,"16,829,128"
AlArabiya,"16,796,456"
aguerosergiokun,"16,766,747"
ParisHilton,"16,547,412"
aplusk,"16,506,347"
UN,"16,501,234"
SonuSood,"16,474,838"
FIFAcom,"16,463,042"
CMYLMZ,"16,344,866"
NetflixLAT,"16,327,914"
ajaydevgn,"16,266,712"
xtina,"16,247,814"
ChrisEvans,"16,049,358"
AP,"16,005,330"
Asli_Jacqueline,"15,997,837"
sonakshisinha,"15,899,544"
SHAQ,"15,799,682"
elissakh,"15,633,047"
RafaelNadal,"15,594,261"
tomhanks,"15,453,906"
NancyAjram,"15,407,212"
shahidkapoor,"15,370,416"
juniorbachchan,"15,365,863"
Alwaleed_Talal,"15,361,940"
BBCNews,"15,326,303"
Beyonce,"15,318,944"
vicegandako,"15,311,575"
FLOTUS45,"15,247,206"
annecurtissmith,"15,244,665"
BernieSanders,"15,212,352"
radityadika,"15,192,958"
Alafasy,"15,152,221"
voguemagazine,"15,131,750"
PSG_inside,"15,081,230"
g1,"15,052,904"
rickygervais,"15,048,424"
paulocoelho,"15,041,960"
gusttavo_lima,"15,014,383"
Diddy,"15,003,328"
RealHughJackman,"14,937,287"
davido,"14,866,032"
IbaiLlanos,"14,846,047"
cnni,"14,797,313"
OfficialHenedy,"14,790,363"
Sports,"14,788,724"
timesofindia,"14,716,153"
GalatasaraySK,"14,698,321"
neiltyson,"14,704,141"
arigameplays,"14,694,672"
TXT_members,"14,676,262"
D_DeGea,"14,574,925"
ParineetiChopra,"14,570,786"
ZacEfron,"14,534,566"
mangeshkarlata,"14,495,156"
VP,"14,440,281"
kobebryant,"14,412,231"
Spotify,"14,402,641"
ClaudiaLeitte,"14,386,685"
tim_cook,"14,387,673"
RyanSeacrest,"14,358,564"
MarvelStudios,"14,334,533"
ShraddhaKapoor,"14,307,003"
camerondallas,"14,282,605"
arunjaitley,"14,275,186"
billboard,"14,274,416"
JohnCena,"14,253,797"
RanveerOfficial,"14,246,699"
IndirectasRock,"14,210,898"
Meta,"14,194,665"
halsey,"14,065,887"
sabqorg,"14,060,242"
weareoneEXO,"14,044,559"
TwitterLatAm,"14,031,634"
markiplier,"14,014,560"
jk_rowling,"13,981,102"
JColeNC,"13,940,616"
nitin_gadkari,"13,875,396"
Microsoft,"13,862,127"
tyrabanks,"13,812,986"
BTS_jp_official,"13,811,975"
WWE,"13,796,871"
BigSean,"13,786,570"
ABPNews,"13,775,607"
marcosmion,"13,766,015"
nickjonas,"13,749,546"
maroon5,"13,711,134"
tvglobo,"13,650,557"
NintendoAmerica,"13,580,254"
urstrulyMahesh,"13,556,475"
MustafaHosny,"13,507,368"
enriqueiglesias,"13,499,508"
KMbappe,"13,460,757"
POTUS44,"13,423,839"
cnnarabic,"13,356,784"
johnlegend,"13,341,328"
CHANEL,"13,305,850"
UberFacts,"13,301,531"
SethMacFarlane,"13,271,100"
AOC,"13,229,385"
LucianoHuck,"13,185,819"
BillClinton,"13,161,392"
youm7,"13,098,626"
TreySongz,"13,092,235"
maisa,"12,995,869"
MarceloM12,"12,995,636"
sonamakapoor,"12,982,211"
CGTNOfficial,"12,971,086"
Camila_Cabello,"12,896,504"
RNTata2000,"12,865,644"
XCreators,"12,838,555"
cinema21,"12,827,492"
FIFAWorldCup,"12,804,434"
BT21_,"12,782,361"
GautamGambhir,"12,766,271"
smritiirani,"12,733,155"
50cent,"12,708,885"
rogerfederer,"12,692,610"
heekma,"12,695,810"
salman_alodah,"12,654,483"
ESPNFC,"12,656,871"
SkySportsNews,"12,646,167"
SushmaSwaraj,"12,628,313"
KrisJenner,"12,606,888"
wizkidayo,"12,588,071"
funnyordie,"12,584,363"
NetflixFR,"12,582,214"
chrissyteigen,"12,565,276"
EuropaLeague,"12,496,830"
143redangel,"12,448,069"
pledis_17,"12,447,255"
SamsungMobile,"12,437,839"
richardbranson,"12,434,661"
TuckerCarlson,"12,415,891"
Carles5puyol,"12,407,100"
FarOutAkhtar,"12,389,873"
LaLiga,"12,366,142"
WHO,"12,342,245"
Fenerbahce,"12,322,395"
TweetRAMALAN,"12,311,418"
chetan_bhagat,"12,280,630"
joerogan,"12,281,689"
SenSanders,"12,248,984"
AlHadath,"12,210,797"
ToniKroos,"12,183,658"
5SOS,"12,173,927"
GermanGarmendia,"12,129,103"
kendricklamar,"12,120,016"
ufc,"12,057,525"
thekiranbedi,"12,049,093"
JYPETWICE,"12,046,786"
Varun_dvn,"12,034,282"
SkySportsPL,"12,034,546"
Lakers,"12,022,883"
PiyushGoyal,"12,023,065"
jairbolsonaro,"12,018,533"
stephenfry,"12,007,709"
XHNews,"11,975,901"
ZoeSugg,"11,966,062"
trvisXX,"11,944,452"
ENHYPEN_members,"11,934,139"
HashKSA,"11,911,316"
Pixar,"11,874,428"
UberSoc,"11,862,036"
ashleytisdale,"11,852,688"
realmadridarab,"11,849,536"
harbhajan_singh,"11,805,560"
Trevornoah,"11,787,962"
kellyclarkson,"11,781,420"
enews,"11,775,245"
LunaMaya26,"11,720,649"
ObamaWhiteHouse,"11,717,276"
VineCreators,"11,713,300"
Alhilal_FC,"11,712,148"
Usher,"11,707,060"
luansantana,"11,702,137"
BamBam1A,"11,686,572"
ciara,"11,681,441"
rioferdy5,"11,680,182"
Byoussef,"11,673,326"
SMTOWNGLOBAL,"11,670,767"
SarahKSilverman,"11,663,902"
amrdiab,"11,634,500"
dhanushkraja,"11,618,990"
TheOnion,"11,615,618"
iamwill,"11,588,250"
kata2bijak,"11,576,705"
AlAhly,"11,574,494"
CalvinHarris,"11,542,981"
Android,"11,519,244"
Music,"11,502,531"
MLB,"11,500,449"
EugenioDerbez,"11,484,742"
victoriabeckham,"11,471,241"
XabiAlonso,"11,452,864"
LittleMix,"11,438,568"
jimmykimmel,"11,422,578"
binance,"11,399,754"
elmarianaa,"11,397,723"
Riteishd,"11,376,392"
rustyrockets,"11,355,580"
JUANES,"11,332,244"
MeekMill,"11,314,620"
ashwinravi99,"11,267,060"
AJELNEWS24,"11,233,256"
HHShkMohd,"11,218,126"
Tatawerneck,"11,212,445"
rafinhabastos,"11,196,581"
NCTsmtown,"11,186,218"
Ludmilla,"11,166,487"
TEDTalks,"11,162,507"
mindykaling,"11,158,018"
NabilAlawadhy,"11,149,598"
Ludacris,"11,136,174"
MarcAnthony,"11,134,399"
SabrinaSato,"11,129,652"
Metro_TV,"11,069,472"
anandmahindra,"11,037,732"
BruMarquezine,"11,024,076"
TXT_bighit,"11,019,706"
RajatSharmaLive,"11,004,714"
DonaldJTrumpJr,"10,989,749"
HuffPost,"10,949,110"
amrkhaled,"10,938,438"
guardian,"10,910,305"
karolg,"10,883,650"
Swamy39,"10,878,708"
Starbucks,"10,875,982"
billmaher,"10,868,535"
programapanico,"10,866,850"
lemondefr,"10,845,213"
sherinasinna,"10,844,211"
yuyacst,"10,802,560"
AdamSchefter,"10,779,186"
JBALVIN,"10,770,003"
BBCSport,"10,757,044"
PaulinaRubio,"10,732,016"
Ubisoft,"10,710,802"
Huawei,"10,687,872"
Flamengo,"10,625,872"
kilicdarogluk,"10,620,702"
vegetta777,"10,616,640"
Stray_Kids,"10,622,286"
bernardokath,"10,592,198"
paulpogba,"10,587,530"
Disney,"10,553,358"
NCTsmtown_DREAM,"10,539,205"
NoticiasCaracol,"10,532,500"
MadhuriDixit,"10,527,490"
showdavida,"10,503,822"
lopezobrador_,"10,500,458"
JKCorden,"10,476,237"
GiGiHadid,"10,476,776"
TheNotoriousMMA,"10,475,192"
SimonCowell,"10,468,288"
IvankaTrump,"10,465,522"
serenawilliams,"10,464,356"
Pharrell,"10,411,024"
DUALIPA,"10,397,849"
Samanthaprabhu2,"10,361,116"
Ricardo_Arjona,"10,330,569"
muftimenk,"10,321,658"
TechCrunch,"10,301,882"
ChennaiIPL,"10,299,208"
TimesNow,"10,281,760"
AppleMusic,"10,278,729"
KingSalman,"10,253,328"
INCIndia,"10,253,969"
maddow,"10,245,690"
CuteEmergency,"10,218,523"
BLACKPINK,"10,191,440"
SidMalhotra,"10,177,500"
JoelOsteen,"10,162,693"
VictoriasSecret,"10,154,686"
IkerCasillas,"10,150,311"
ahelmy,"10,134,310"
myogioffice,"10,119,121"
cuervotinelli,"10,113,228"
juventusfc,"10,088,672"
SBYudhoyono,"10,083,072"
QueenRania,"10,082,351"
yousuck2020,"10,067,208"
Nike,"10,041,911"
F1,"10,037,606"
Twitch,"10,029,152"
jorgeemateus,"10,003,463"
PTIofficial,"10,001,390"
WIRED,"9,992,748"
IGN,"9,988,645"
charliesheen,"9,952,354"
hardikpandya7,"9,896,889"
Luke5SOS,"9,889,352"
girlposts,"9,875,798"
tvOneNews,"9,864,684"
LouisVuitton,"9,863,628"
DrKumarVishwas,"9,848,849"
Anahi,"9,820,030"
kegblgnunfaedh,"9,826,994"
TareqAlSuwaidan,"9,815,316"
Michael5SOS,"9,812,177"
tylerthecreator,"9,801,221"
Apple,"9,792,612"
cesc4official,"9,794,973"
LanaDelRey,"9,795,451"
tcbestepe,"9,767,328"
davidbisbal,"9,763,842"
HMOIndia,"9,758,938"
EASPORTSFC,"9,737,533"
ABdeVilliers17,"9,735,153"
realwbonner,"9,728,910"
LuisFonsi,"9,729,425"
xSqueeZie,"9,726,144"
NCTsmtown_127,"9,717,367"
thalia,"9,691,631"
joejonas,"9,652,426"
beINSPORTS,"9,649,047"
CarlosLoret,"9,629,782"
EmmanuelMacron,"9,613,942"
matsu_bouzu,"9,609,577"
France24_ar,"9,600,223"
afgan___,"9,593,318"
News_Ejazah,"9,594,451"
azizansari,"9,588,830"
VictoriaJustice,"9,573,514"
Asad_Umar,"9,560,694"
andersoncooper,"9,554,182"
AristeguiOnline,"9,552,387"
fatihportakal,"9,532,771"
VP45,"9,509,878"
KimberlyLoaiza_,"9,477,629"
business,"9,466,107"
DwyaneWade,"9,458,184"
NBCNews,"9,456,792"
BreakingNews,"9,445,002"
anirudhofficial,"9,434,571"
JuanSGuarnizo,"9,407,502"
Ibra_official,"9,397,369"
GOT7Official,"9,336,493"
goal,"9,336,346"
CHAYANNEMUSIC,"9,324,015"
imdanielpadilla,"9,315,410"
UNICEF,"9,301,780"
Dior,"9,297,599"
gucci1017,"9,288,502"
BBCArabic,"9,280,287"
DjokerNole,"9,266,546"
TheDailyShow,"9,263,466"
NajwaShihab,"9,258,861"
ChouhanShivraj,"9,251,654"
carlyraejepsen,"9,244,389"
dog_rates,"9,240,777"
Discovery,"9,226,829"
ABSCBNNews,"9,226,697"
ygent_official,"9,214,295"
DaniAlvesD2,"9,201,478"
raisa6690,"9,184,420"
FabioPorchat,"9,177,952"
lukebryan,"9,171,031"
burnaboy,"9,172,894"
MirzaSania,"9,150,856"
ygofficialblink,"9,138,160"
Persie_Official,"9,135,313"
montanertwiter,"9,120,043"
Live,"9,104,656"
bhogleharsha,"9,104,923"
Suriya_offl,"9,100,560"
