Channel,Subs
Canal KondZilla,66.9M
Felipe Neto,46.2M
Você Sabia?,45.2M
whinderssonnunes,44.5M
LUCCAS NETO - LUCCAS TOON,42.1M
GR6 EXPLODE,40.1M
Maria Clara & JP,39.5M
Galinha Pintadinha,35.2M
Enaldinho,34.2M
rezendeevil,32.7M
Spider Slack,32M
Renato Garcia YT,27.8M
Marília Mendonça,26.3M
Rafa & Luiz,24.7M
DUDU e CAROL,23.9M
Valentina Pontes ofc,23.8M
Fatos Desconhecidos,21.5M
José Comilão,21M
Canal Canalha,20.8M
Bispo Bruno Leonardo,20.6M
Robin Hood Gamer,20.6M
Gusttavo Lima Oficial,20.6M
Masha e o Urso,20.1M
AuthenticGames,20.1M
Turma da Mônica,19.5M
Natan por Aí,18.6M
Dan-Sa / Daniel Saboya,18.6M
Manual do Mundo,18.4M
INCRÍVEL,18.3M
Porta dos Fundos,17.9M
Painzeiro,17.7M
Gato Galactico,17.6M
Anitta,17.5M
Juliana Baltar,17.2M
T3ddy,16.7M
Matheus Kriwat,16.7M
MK MUSIC,16.7M
FitDance,16.4M
Canal IN,16.2M
Henrique e Juliano,15.9M
Little Angel - Músicas Infantis e…,15.6M
Zé Neto e Cristiano,15.4M
Camila Loures,15.3M
TazerCraft,15.2M
O Reino Infantil,15.2M
Crescendo com Luluca,15.2M
Jazzghost,15.2M
NOBRU,15M
Jorge & Mateus Oficial,15M
Canal Nostalgia,14.8M
Planeta das Gêmeas,14.7M
IDEIAS INCRÍVEIS,14.5M
LEGENDA FUNK,14.5M
Emilly Vick,14.5M
O Que Não Dizer Oficial,14.5M
MC Divertida,14.3M
Ju Araújo,14.2M
Invento na Hora,14.2M
Jooj Natu,14.1M
Gustavo Paródias,14.1M
AM3NlC,14.1M
Anninha,14.1M
Pastor Antônio Júnior,13.9M
Peppa Pig em Português Brasil - C…,13.9M
PlayHard,13.9M
Lucan Pevidor,13.8M
MAIKI021,13.8M
Wesley Safadão,13.8M
Hungria Hip Hop,13.4M
Ei Nerd,13.4M
RedeTV,13.3M
7 Minutoz,13.3M
Mundo Bita,13.1M
Everson Zoio,13.1M
Matheus Yurley,12.9M
Piuzinho,12.8M
Parafernalha,12.7M
LipaoGamer,12.6M
LOUD,12.5M
MALOUCOS,12.4M
MUSSA,12.4M
Bela Bagunça,12.4M
Brancoala,12.4M
Spiderbritto,12.3M
SBT,12.1M
João Caetano,12.1M
The Noite com Danilo Gentili,12M
Neagle,12M
Bolofofos,11.8M
MILENINHA,11.7M
Games EduUu,11.7M
Tales Bento,11.7M
CazéTV,11.6M
Virgínia Fonseca,11.6M
Dani Russo Tv,11.6M
Receitas de Pai,11.6M
EU FICO LOKO,11.6M
Simone e Simaria,11.5M
Canal Clash War,11.5M
Netflix Brasil,11.5M
Love Funk,11.3M
Viih Tube,11.2M
PineappleStormTV,11.2M
JP Plays,11.1M
Coisa de Nerd,11.1M
Franciny Ehlke,11M
Lucas Rangel,10.9M
Lorrayne Oliveira,10.9M
Galo Frito,10.8M
Matheus e Kauan,10.8M
Área Secreta,10.7M
Brincando com o Rafael,10.6M
TNT Sports Brasil,10.6M
Julia MineGirl,10.6M
Caracol Raivoso,10.5M
5incominutos,10.5M
BETO GAMER,10.4M
Gabrielmiranda_ofc,10.4M
SLIME SAM SAPECA,10.4M
Laurinha e Helena - Clubinho da La…,10.4M
FutParódias,10.4M
BabyBus Português - Músicas Infa…,10.3M
BIBI,10.3M
Cátia Damasceno,10.2M
Patati Patatá,10.1M
Programa Panico,10M
COMÉDIA SELVAGEM,9.78M
Muca Muriçoca,9.76M
Desimpedidos,9.75M
Maiara e Maraisa,9.72M
3Palavrinhas,9.72M
Geleia,9.67M
Sarah de Araújo,9.57M
BRKsEDU,9.54M
Mamute Congelado,9.53M
Deive Leonardo,9.5M
Mundo da Vivi,9.45M
Irmãos Berti,9.44M
Garena Free Fire Brasil,9.43M
Maneirando,9.37M
Isamara Amâncio,9.33M
Tauz Oficial,9.29M
Os Amiguinhos,9.27M
EL GATO,9.23M
Canal da Lelê,9.21M
Canal Top10,9.19M
Gabriela Rocha,9.05M
Câmeras Escondidas Programa Silvi…,9.02M
uJoãozinho,9.01M
Zé Felipe,8.98M
Tribo da Periferia,8.83M
Yasmin Verissimo,8.8M
LUDMILLA,8.8M
LubaTV,8.78M
Mayca Brasil,8.69M
Funk 24por48,8.59M
Culinária em Casa,8.55M
Gerson Albuquerque,8.52M
Micael Melo,8.43M
Marcos Piveta,8.36M
Flavia Calina,8.36M
MoonKase,8.34M
Gameplayrj,8.33M
Falaidearo,8.25M
Luísa Sonza,8.24M
ProSidu,8.2M
Los Wagners,8.17M
Matheus Mazzafera,8.13M
Pyong Lee,8.07M
As Aventuras de Poliana,8.04M
Roberta Pupi,8.03M
Multishow,8.02M
Fábio Teruel,7.97M
