Channel,Subs
KAROL G,34.5M
J Balvin,34.3M
toycantando,28.6M
Ami Rodriguez,27.4M
enchufetv,27.2M
Anuel AA,26.2M
Go Ami Go!,17.7M
La Granja del Borrego,16.8M
Amara Que Linda,16.8M
Camilo,16.2M
Codiscos,14.2M
PANDA,14.1M
WinnerMax,13.7M
jbalvinVEVO,13.2M
Lulu99,12.7M
MrStiven Tc,11M
Carlos Feria,10.2M
Manuel Turizo,9.57M
Sofia Castro,8.94M
Canal RCN,8.89M
Matemáticas profe Alex,8.53M
Kika Nieto,7.83M
Piso 21,7.67M
Cuentos y Canciones Infantiles,7.55M
Calle y Poché,7.42M
Mundo Canticuentos,7.41M
FlexVega,7.27M
8D TUNES,7.16M
Paulettee,7M
El Cocadin,6.79M
Federico Millan,6.67M
Fausto Murillo,6.5M
SORPRENDENTE,6.43M
Sebastián Villalobos,6.38M
La Voz Kids Colombia,6.19M
Kikemendoza y su familia,5.95M
Silvestre Dangond,5.94M
Carlos Vives,5.94M
Isandrep,5.82M
Feid,5.8M
DARCZTOPS,5.74M
100%JC,5.51M
Juan Pablo Jaramillo,5.41M
Rank Smashers,5.21M
JeanCarlo León,4.99M
julioprofe,4.95M
KevinRoldanOfficial,4.86M
Libardo Isaza,4.81M
Marlon Garzón,4.73M
Gaby Rodriguez,4.61M
Santi Oficial,4.55M
Luisa Fernanda W,4.53M
ELpeluca XD,4.16M
David Sin Fama,4.14M
Johan Speak,4.05M
Mol ASMR.,3.91M
Nanpa Basico Oficial,3.88M
Oswaldo Restrepo RSC,3.66M
PARCERICO,3.63M
Jessi Uribe,3.6M
Mario Ruiz,3.58M
La familia Terrible,3.57M
Felipe Charry,3.54M
Sentir Vallenato,3.44M
Jhoigamer YT,3.41M
KapitalMusicTv,3.4M
La mafe mendez,3.36M
Sophie Giraldo,3.31M
Andy Rivera,3.31M
Epidemic77,3.28M
TopManias,3.27M
Trolencio911,3.18M
Familia Recocha,3.17M
sofi muñoz,3.14M
Poetizador tv,3.1M
Tops Y Misterios,3.09M
Frank Jr. Navarro,3.08M
Francisco Ochoa Inglés Fácil,3.07M
CarlosVivesVEVO,3.07M
