Channel,Subs
Ythundyth,464K
Eivør,267K
Enna Soldra Jack,228K
MEIWAY OFFICIEL,192K
?shub? creative,132K
Camp Chanal,43.9K
Summar Festivalur,41.5K
Týr,34.6K
Deepak gaming YT 7065,31.5K
শিশ্ন কান্ট �…,23.7K
ЕвЭмКе,23K
starwolffan13,17.6K
TRUE STORIES-YT,13.6K
Pinklaeti,13.2K
EaseUS Software,11.4K
Heri Joensen,9.58K
AKRAJBHAR7889,9.53K
Ark Invest - (Elon Musk),9.48K
Ас Гард,9.43K
paradisebeyond METAL CATALOG,6.95K
jenny8823x,6.16K
Rói Spange Larsen,6.16K
Scandza Forum,5.65K
ANUJ CHAUHAN FUNNY,4.98K
Visit Faroe Islands,4.73K
katiewolf17,4.68K
Sergey Gorsht,3.76K
Klovnurin BUBU,3.43K
Kringvarp Føroya,3.21K
Lpsbest Xx,3.07K
Tóki Brattalíð,2.9K
2010 GAMER,2.86K
TheJudoMMA,2.85K
RakuláLofti,2.72K
DANI NST CHANNEL,2.45K
TUTL Records - Music from the Faro…,2.44K
La radio en or,2.41K
Shweta Tripathi,2.37K
TECHNICAL NV THAKOR,2.32K
once again ayush FF,2.31K
Gujarati treder,2.24K
Football live,2.23K
Hamferd Official,2.18K
Faroese Seafood,2.07K
Rue89,2K
Vónin Group,1.99K
ebengis,1.99K
easy way Murli Darshan,1.99K
토닥토닥,1.94K
Jayden and Jeremy Lind,1.86K
miu,1.85K
Mads Nielsen,1.79K
Life Unscripted,1.67K
Kingeba,1.62K
info legand,1.61K
Shinespark,1.6K
93MANIAC,1.57K
anonymous,1.56K
trueway,1.56K
SingedPlank,1.56K
Swangah // iLLtonkt,1.53K
DANNY & THE VEETOS,1.53K
MLG. Mega Laggy Gamer,1.51K
TheMusicStalker,1.48K
Just Jennifer,1.47K
alta,1.41K
Faroeparadisee,1.39K
bof4,1.37K
Ground Glory Goalkeeping,1.3K
Crettzz,1.29K
Elinborg,1.29K
Abdel,1.27K
AKASH IND,1.25K
MAYUR DHEMBARE,1.21K
Farerets,1.2K
McHar1000,1.2K
Yeng Vlog,1.19K
Reimund ́s drone videos,1.17K
Steve Nash,1.15K
MylèneFarmerTV,1.13K
Faroe Islands Channel,1.12K
Psychology in a Nutshell,1.11K
Christopher,1.07K
Loulou Albajoue Music,1.06K
BaldiFan2020 needs his subscribers…,1.04K
winjoxx,1.02K
ICatt,1.02K
Krishna Raj Show,1.02K
EUROREMONTinfo,1.01K
Miðvágur Føroyar,1.01K
CaptainAtomSmasher,1K
Happy Colorist Jey,1K
Kiihomi,998
Raclip,938
John Egholm,925
supremum,924
Klæmint Klakk,922
Zayco,912
MidaMusic,905
KÍ - Klaksvíkar Ítróttarfelag,884
Vilhelm Vilhelmsen,866
Radhe sanatani lovers ?!!,860
Olivia,858
rogvibest7,835
Tagik,826
Flogbóltsvarpið - Flogbóltssamb…,792
Heri Simonsen,784
JustPhantomComics,773
jakupsandberg,745
Le Fleury,721
dirtydrunkenmaster,698
tobi,695
Classy Klein,686
Evangeliska Røddin,672
dansktpjatt,647
dooki ^_^,638
SuzieSmiled,630
Alpin Shino,625
Tadboys,611
catalanhighlander,606
Hermes Ushcvr,603
GrandmasBasement1,600
LegoVinir,594
Signar í Homrum,585
Michael Henriksen,580
Laksil,580
Rúni Johansen,572
Bugvi H. Miðnes,556
Keldan Netvarp,555
Kedes,542
JMartemis Armurerie,533
Polar Films,519
Jóannes Jakobsen,516
STARSLOTS,514
Qvexilber,502
Rói Sørensen (ROY),502
Slickmeister,495
docktormurt,491
Aeschylus,487
Sorcky,477
jehe1996GamingSite,475
skemtfo,472
johnsim70,472
Joe & The Shitboys,465
ByrtaByrta,456
sjurdurkjv,452
RivRevv Media,440
DRONEDIRECTOR,434
Gurt the Poop Mother,430
CybertronicTeam,430
Patrycja Sadlik,430
2girlsofficial,420
NXT EXPERT,420
Konni Kass,420
Srip,408
Viper,405
odmarolsen,390
nilsding,379
Herborg Torkilsdóttir,377
Guide to Faroe Islands,374
MrJakup98,369
Jeanett Müller,367
Nabob67,358
la triple Xl,355
Renzo Gaming,345
Eivorpalsdottir,343
Toutcequi Buzz,343
my.Tejking.9,342
FridiNaTor,342
MR PermaBan UwU,337
Tórður Pætur Ravnsfjall,329
TAB FO,324
Handball Fan,324
Ranna Owieczka,323
Mala,319
sicofficial,316
Clyde,312
Líðarenni,302
Atlantic Airways,300
LiliDuchessG World,288
allinmusicforever,284
versailles,284
Ghostblack,282
Guillaume Aurand,281
ゆさに い,281
vikmarfo,278
GlitchingDarkrai,278
mako,275
Loïc lap,268
TheDancechartmusic,267
Torterra Protector,266
GrimurKamban,264
Teit Hjelm,261
DGHD,259
Saw Oplert,256
Runathahammer,254
Nany LifeStyle,249
Á Skúlatrøð,246
Maggies Nólsoy,244
Jóhann .Fönix,243
ZloYYT,241
AKUMA URBEX,240
W0ojtek MinecraftPLTVHD,239
The Cool Jósef,239
ofuTV,237
balmain,234
mooneverblue,232
Grieverization,231
Svimjisamband Føroya,231
aGeilini,230
Saviour Mifsud,228
Kirkjuliga Heimamissiónin,228
Online Commentator,228
MatGaming,227
Japey,226
Sunset Aurora ASMR,224
Elin Brimheim Heinesen,221
KFS Føroyar,221
datNERO17,214
Plumbum13Plum,214
Dinand,214
HeroStez,213
Hozzle,210
emdea,209
Intel HD Graphics 4000 Playable Ga…,208
UltimateG,207
svimjing.com,205
Smyril Line COM,205
Jákup Eivin,202
anna margit thomsen,201
Amar Howlader,200
theZodiacDigital,195
VVooxx,192
Bjarni Enghamar,190
B-Studio / Multimedia Company,189
ja j,189
Brandur Teitsson,188
VP,187
.Lian Edits,187
Seesamstraße Prime,187
Thymos,179
Adam Hinden,177
Jógvan,177
MegaPBTV,176
Røddin,174
Mickey Shemesh,174
Rógvi Langgaard,171
Sendistovan,169
_L1OR_,169
The Fanta Boy,166
Erdbeer Wolf,165
Shelby,164
loksholl,162
DANI AL CUADRADO,161
