Channel,Subs
Jess No Limit,45.8M
Ricis Official,42.9M
Frost Diamond,35.4M
AH,31M
Indosiar,28.8M
Willie Salim,27.3M
Rans Entertainment,26M
TRANS7 OFFICIAL,25.8M
Deddy Corbuzier,21.9M
BabyBus - Cerita & Lagu Anak-anak,21.7M
MiawAug,21.3M
Baim Paula,21.3M
SCTV,20.4M
Naisa Alifia Yuriza (N.A.Y),20.2M
Yudist Ardhana,19.3M
GEN HALILINTAR,18.5M
Zuni and Family,18.5M
tanboy kun,18.5M
Like Nastya IDN,17.9M
TRANS TV Official,17.6M
Vilmei,17M
RCTI - LAYAR DRAMA INDONESIA,16.8M
Arif muhammad,16.8M
KOMPASTV,16.7M
Dyland PROS,16.2M
Klara Tania,16.1M
MNCTV OFFICIAL,15.9M
Daftar Populer,15.5M
Kerajinan 5-Menit,15.4M
Bobon Santoso,15M
BUDI01 GAMING,13.8M
tvOneNews,13.1M
Calon Sarjana,13M
Troom Troom Indonesia,12.9M
Tayo Bus Kecil - Tayo Bahasa Indon…,12.8M
The Shiny Peanut,12.8M
Aishwa Nahla Official,12.5M
Kaleb Andri,12.4M
SAAIHALILINTAR,12.4M
Windah Basudara,12.4M
Little Angel Bahasa Indonesia - La…,12.2M
Mikael TubeHD,12.1M
FrontaL Gaming,12M
ALDIS Putra,12M
Tribunnews,11.9M
GadgetIn,11.9M
Cheryl Antoinette,11.8M
Lagu Anak Indonesia Balita,11.7M
Muhammad Hasan Abdillah,11.6M
GNP Music,11.6M
Jessica Jane,11.6M
YtCrash,11.4M
Pokémon Indonesia,11.2M
Hariyo Ardhito,11.1M
CNN Indonesia,10.9M
Ale Khin,10.8M
Islam Populer,10.7M
The LetsPlay Family,10.7M
Main Hakim Sendiri,10.7M
Jeevan Akawa,10.4M
Nihongo Mantappu,10.4M
SULE PRODUCTIONS,10.3M
Sara Wijayanto,10.3M
WARINTIL OFFICIAL,10.3M
Wisnu Trijaya,10.3M
Raditya Dika,10.2M
Si Bocil - Bocah Cilik,10.1M
efdewe,10.1M
Ani Nurhayani,10M
RIYAN PEOTT,10M
Najwa Shihab,9.96M
itsmeissie,9.87M
Panji Petualang,9.83M
LetDa Hyper,9.77M
Rizky Riplay,9.67M
Rendy Rangers,9.56M
deHakims channel,9.55M
Miwanda_Tanz,9.48M
SISI TERANG,9.46M
Upin & Ipin,9.43M
animasinopal,9.4M
Zhi En,9.37M
The Onsu Family,9.18M
NussaOfficial,9.17M
Nadia Omara,9.15M
NAGASWARA Official Video Indonesia…,9.13M
CnX Adventurers,9.1M
Netmediatama,9.04M
Yosua Andre,8.95M
MD Entertainment,8.87M
Heidi dan Zidane,8.7M
Maell Lee,8.67M
Tribun Timur,8.66M
METRO TV,8.57M
Rasid Sidik,8.56M
Gelegar,8.55M
Daftar5,8.51M
