Channel,Subs
PANDA BOI,37.1M
Davie504,13.3M
mercuri_88,11.6M
The Quinetto's,11.1M
Born2Kill,9.34M
Serie A,9.24M
Khaby. Lame,7.32M
Lionfield,6.95M
Me contro Te,6.8M
FavijTV,6.55M
iPantellas,6.54M
Andrea Bocelli,6.12M
Warner Music Italy,6.02M
PULCINO PIO,5.77M
Magnetic Games,5.47M
Rai,5.44M
Ameli TVIT,5.32M
Red k7,5.28M
Juventus,5.12M
WhenGamersFail ► Lyon,4.95M
Masha e Orso,4.93M
Måneskin Official,4.93M
Film&Clips,4.75M
Antonio Palmucci,4.7M
JMMates,4.56M
5 MINUTI CREATIVI,4.5M
clips mix,4.43M
St3pNy,4.34M
Daniele Vitale Sax,4.22M
Tom Sings,4.21M
HALIDONMUSIC,4.2M
theShow,4.02M
Leonardograti,3.87M
Arnaldo Mangini,3.72M
CiccioGamer89,3.68M
Anima,3.64M
WB Kids Italiano,3.43M
MikeShowSha,3.41M
ASMR Updates,3.4M
DisneyJuniorIT,3.28M
Fatto in Casa da Benedetta,3.19M
Gabby16bit,3.12M
Fashion Channel,3.1M
Fanpage.it,3.08M
Surry,3.01M
IL LATO POSITIVO,2.98M
Dolci Melodie,2.97M
kishinpain,2.96M
ilvostrocaroDexter,2.96M
Giallozafferano Italian Recipes,2.91M
Two Players One Console,2.89M
Baby World and Songs,2.88M
Il Rifugio Perfetto,2.84M
Ghali,2.81M
Davidlap,2.81M
DisneyChannelIT,2.76M
HeyKids - Canzoni Per Bimbi,2.74M
Marcello Barenghi,2.7M
Oddman Games,2.7M
Stella ASMR,2.68M
GialloZafferano,2.67M
xMurry,2.64M
ErosRamazzotti,2.64M
Marjia Mimi,2.63M
Matt & Bise,2.56M
Amedeo Preziosi,2.5M
Riccardo Dose,2.47M
POC English,2.43M
Laura e Giulia,2.4M
ricette arabe,2.37M
Nickelodeon Italia,2.37M
Scottecs,2.35M
Disney IT,2.34M
Awed ™,2.34M
LaSabri,2.33M
Isabel Giannuzzi,2.32M
Piccolo Coro dell'Antoniano,2.29M
Sespo,2.27M
Asmr With Sasha,2.25M
CoccoleSonore,2.24M
Official Seamusica,2.23M
FedezChanneL,2.22M
Tony Crynight,2.22M
LOKMAN,2.19M
Sfera Ebbasta,2.19M
fazz160,2.14M
GiampyTek,2.13M
Planet Records Official,2.13M
Gli Autogol,2.11M
Gianmarco Zagato,2.09M
Jakidale,2.05M
Fabrizio Romano,2.04M
Lamborghini,2.01M
Energy TV,1.99M
LeTwins,1.99M
Feinxy,1.98M
Ricette dolci,1.98M
Kids Tv Italiano - canzoni per bam…,1.97M
Ali Hashem علي هاشم,1.96M
Ninna e Matti,1.95M
Gurmy Aujla,1.94M
Sbriser,1.93M
GBR - Giochi per Bambini e Ragazzi,1.93M
Me contro Te Music,1.92M
Александр Невзоров,1.9M
SpJockey,1.87M
SAFAA,1.86M
Luis,1.85M
BABYKCHANNEL,1.85M
DinsiemE,1.85M
TPOC Plays,1.85M
Ludovico Einaudi,1.83M
LorenzIST,1.8M
BuBu Bambini,1.8M
Kendal,1.79M
Geopop,1.78M
Luca Lattanzio,1.77M
Grax,1.75M
KRAV MAGA TRAINING,1.74M
Casa delle Bambole,1.74M
Paky Official,1.72M
Fabio Rovazzi,1.72M
JOk3R,1.71M
Eleonora Olivieri,1.7M
WinxClubEnglish,1.7M
CR7 Reaction,1.7M
Capo Plaza,1.7M
BarbieBac,1.7M
AS Roma,1.69M
GaBBoDSQ,1.69M
Mattiz,1.68M
RoccoHunt,1.67M
GianpaoloGolden,1.67M
Famiglia Suricata,1.67M
GommeBlog.it: Car & Performance,1.66M
Baby Gang,1.66M
EGO TV,1.63M
Peppa Pig Italiano - Canale Uffici…,1.63M
Silvia & Kids,1.62M
Zrekun,1.62M
JustR3mo,1.62M
PORKMODZ,1.61M
AC Milan,1.6M
Daddy Cool,1.59M
Little Angel Italiano - Canzoni pe…,1.58M
PirlasV,1.57M
SoloCalcioExtra,1.57M
Peter Ace,1.56M
CaptainBlazer,1.56M
Fraffrog,1.55M
Planet Records Cuba / Miami,1.54M
Master Sina,1.54M
AlexKidsTV Italiano,1.53M
Nick Radogna TV,1.52M
Tiziano Ferro,1.52M
Stef&Phere,1.52M
yotobi,1.51M
Ferrari,1.5M
