Channel,Subs
PewDiePie,111M
Junya.じゅんや,33.8M
Sagawa /さがわ,28.6M
ISSEI / いっせい,23.3M
Bayashi TV,22.9M
Pokémon Kids TV,15.7M
Saito さいとう,15.4M
HikakinTV,12.7M
M2DK.マツダ家の日常,11.9M
せんももあいしーチャン�…,11.2M
Parotter,11.1M
БРУНО,11M
恋愛とと,11M
はじめしゃちょー（hajime�…,10.8M
きまぐれクックKimagure Cook,10.2M
HAYATAKU はやたく,9.65M
THE FIRST TAKE,8.99M
Mochi.もち,8.82M
Fischer's-フィッシャーズ-,8.38M
すしらーめん《りく》,7.82M
Nino's Home,7.73M
タキロン Takilong Kids' Toys,7.58M
Kenshi Yonezu  米津玄師,7.04M
東海オンエア,7.01M
Yamil4K,6.89M
mania japansong,6.82M
Maryana Ro,6.56M
Ayase / YOASOBI,6.47M
Ado,6.35M
Kendra's Language School,6.13M
avex,6.05M
HikakinGames,6M
Sam TV,5.97M
はねまりチャンネル・HANE…,5.86M
Alina Saito / 斎藤アリーナ,5.71M
Kevin SooExtra!,5.49M
Nonomen ノノメン,5.34M
JunsKitchen,5.31M
Yoshipapa / よしパパ,5.3M
Yuka Kinoshita木下ゆうか,5.28M
中田敦彦のYouTube大学 - NAK…,5.27M
Junya jr.andMask / こじゅんや,5.15M
TWICE JAPAN OFFICIAL YouTube Chann…,5.1M
Kacho かちょ,5.01M
ヒカル（Hikaru）,4.89M
PIN KORO,4.86M
BabyBusベビーバス - 子供の…,4.85M
Eve,4.82M
内山さんの日常 (Everyday Uc…,4.74M
KIT_FILM | POSITEVE VIBES?,4.7M
料理研究家リュウジのバ�…,4.65M
DuckyOMG,4.65M
キヨ。,4.64M
SeikinTV,4.63M
毎日甘いもの食べたい,4.61M
UNIVERSAL MUSIC JAPAN,4.56M
Chocolate Cacao チョコレート…,4.54M
Kota Mino Channel / こたみの�…,4.53M
ONE OK ROCK,4.5M
Gawr Gura Ch. hololive-EN,4.44M
HidaMari Cooking,4.42M
よにのちゃんねる,4.35M
takahashi taiyou,4.29M
ratkidz,4.29M
エガちゃんねる EGA-CHANNEL,4.26M
Quynh Tran JP & Family - Cuộc s�…,4.24M
NHK,4.21M
水溜りボンド,4.17M
【Repezen Foxx】,4.12M
ノッカーナアニメーショ�…,3.95M
ANNnewsCH,3.94M
５分でできる DIY,3.92M
Marina Takewaki,3.87M
Kan & Aki's CHANNELかんあきチ…,3.85M
コムドット,3.81M
Cafe Music BGM channel,3.76M
Kids Labo TV,3.76M
Fujii Kaze,3.75M
exlittlebeans,3.7M
Fly-N フライン,3.68M
fumikiri channel,3.57M
トモヤとヤマト,3.57M
RRcherrypie,3.55M
平成フラミンゴ,3.55M
ポッキー,3.54M
桐崎栄二.きりざきえいじ,3.54M
Dread Yamada,3.54M
圧倒的不審者の極み!,3.51M
Kamykazeplay,3.48M
Dream English Kids,3.42M
Paolo fromTOKYO,3.39M
The Anime Man,3.37M
NNewWorld,3.35M
HIMAWARIちゃんねる,3.34M
朝倉未来 Mikuru Asakura,3.34M
Official髭男dism,3.3M
Miniature Space,3.3M
Learn Japanese with JapanesePod101…,3.26M
RiChannel,3.26M
ARASHI,3.25M
flor do oriente,3.23M
Mrs. GREEN APPLE,3.18M
ゆうか（Yuuka Sagawa）,3.17M
Snow Man,3.16M
MosoGourmet 妄想グルメ,3.15M
兄者弟者,3.14M
bicsmalln channel,3.12M
Ryo Slime,3.1M
Toy Kids★トイキッズ,3.1M
れーと先生RATE VFX,3.08M
Marble ASMR healing,3.07M
ウエスP -Mr Uekusa- Wes-P,3.06M
Marine Ch. 宝鐘マリン,3.06M
Tsutomu Kajiya,3.05M
kobasolo,3.05M
Nekojitablog,3.05M
20sarasa（にーさら）,3.02M
東海オンエアの控え室,3M
Z-Fox,3M
ブライアンチャンネル,3M
A.I.Channel,2.99M
sushi ninja /すし忍者,2.99M
ポケモン公式YouTubeチャン…,2.96M
Smile Family Japanese,2.96M
TOHO animation チャンネル,2.94M
Warner Music Japan,2.94M
HatsuneMiku,2.9M
はじめしゃちょー2 (hajime),2.9M
ikkou k10,2.9M
Hideo / ヒデオ,2.9M
Phim Siêu Nhân Nhật Bản,2.89M
RADWIMPS,2.86M
BABYMETAL,2.86M
Nintendo 公式チャンネル,2.86M
akidearest,2.86M
まいぜんシスターズ,2.84M
AsobiWorld / あそびわーるど,2.83M
チャンネルがーどまん Cha…,2.82M
Fischer's-セカンダリ-,2.8M
Kimono Mom,2.79M
Hororo chan,2.79M
KAMIWAZA,2.78M
Kaede and Ahtan / かえであー�…,2.78M
コロネおじさん / Uncle Coro…,2.75M
おるたなChannel,2.74M
ゼロから打ち師始めます�…,2.74M
Train Japan OK,2.74M
Gintube,2.73M
NHK WORLD-JAPAN,2.72M
ばんばんざい,2.71M
ひなちゃんねる / Hinata Kato,2.7M
Arimura Taishi,2.69M
HoneyWorks OFFICIAL,2.68M
japanesestuffchannel,2.68M
Mischief time,2.68M
ibisPaint,2.68M
たーたんねる,2.67M
アニプレックス チャンネ…,2.66M
ウルトラマン公式 ULTRAMAN …,2.64M
Magician Shin!,2.64M
Marble Run ONE,2.64M
AKB48,2.62M
Ichika Nito,2.62M
トップ・タレント・ジャ�…,2.61M
KADOKAWAanime,2.6M
Sunny TV,2.59M
ONE PIECE公式YouTubeチャンネ…,2.59M
ピンキッツとベイビーシ�…,2.58M
すとぷりちゃんねる,2.58M
Rachel and Jun,2.55M
Marble Station ASMR,2.55M
両学長 リベラルアーツ大…,2.53M
عرب في كوكب اليابان,2.53M
ジュキヤ/Jukiya,2.53M
Japão Nosso De Cada Dia,2.52M
Goose house,2.51M
ずっと真夜中でいいのに�…,2.5M
XG,2.49M
Sony Music (Japan),2.48M
からめる,2.47M
King Gnu official YouTube channel,2.46M
レトルト,2.45M
シネマトゥデイ,2.45M
カジサック KAJISAC,2.45M
タケヤキ翔/ラトゥラトゥ,2.44M
Peaceful Cuisine,2.43M
Pekora Ch. 兎田ぺこら,2.43M
ボンボンTV,2.42M
70cleam,2.38M
Coromo Sara. ASMR,2.37M
Emojoie,2.36M
ザ・きんにくTV 【The Muscle…,2.36M
ALPACO,2.36M
hololive ホロライブ - VTuber …,2.34M
Mori Calliope Ch. hololive-EN,2.34M
見るだけでもっちー,2.34M
MuscleWatching,2.32M
Kamosea Fan Shorts,2.32M
Kobo Kanaeru Ch. hololive-ID,2.32M
フブキCh。白上フブキ,2.31M
Kleiner Pixel,2.3M
佐藤 健 / Satoh Takeru,2.3M
GundamInfo,2.29M
Kamui - Minecraft Animation,2.28M
Masumi Channel,2.27M
メンタリスト DaiGo,2.26M
Kevin's English Room / 掛山ケ�…,2.24M
日常組,2.23M
ハラミちゃん〈harami_piano�…,2.23M
SixTONES,2.23M
たっくーTVれいでぃお,2.22M
ジョーブログ【CRAZY CHALLEN…,2.21M
なるねぇ【笑けるダイエ�…,2.21M
かまいたちチャンネル,2.2M
Andre Manto,2.2M
Kitten Stories「パズにゃん」,2.2M
サメニンジャー,2.19M
ジェルちゃんねる【すと�…,2.19M
NiziU Official,2.19M
enakimura,2.18M
Animenz Piano Sheets,2.17M
キリン【考察系youtuber】,2.16M
よみぃ,2.15M
ヴァンビ / Vambi,2.15M
コレコレチャンネル KoreTu…,2.15M
しばなんチャンネル,2.15M
もちまる日記,2.15M
TBS NEWS DIG Powered by JNN,2.14M
B-life,2.14M
Rules bhai,2.12M
Michael jackton,2.12M
下らない生活の物語,2.11M
TOMIKKU NET,2.1M
ぷろたん日記,2.1M
チョコレートプラネット …,2.1M
安田現象,2.1M
日テレNEWS,2.1M
花江夏樹,2.09M
Suisei Channel,2.09M
Aimer Official YouTube Channel,2.08M
赤髪のとものゲーム実況�…,2.08M
NENOKIN TV,2.08M
Animist,2.08M
Korone Ch. 戌神ころね,2.07M
しもふりチューブ,2.07M
ほんだのばいく,2.06M
kemio,2.06M
あいみょん,2.05M
kougeisha,2.05M
まあたそ,2.05M
LOVEMATSU STUDIOS / ラブマツ,2.04M
VAIENCE バイエンス,2.04M
shahadat Limited 1,2.04M
aiudesk,2.03M
BTS JAPAN OFFICIAL,2.02M
ジュニアCHANNEL,2.02M
混血のカレコレ,2.02M
FAMILY CLUB,2.02M
Hikaru Utada,2.01M
