Channel,Subs
Citizen TV Kenya,4.6M
TechFreeze,2.76M
KTN News Kenya,2.72M
NTV Kenya,2.37M
Churchill Television,2.28M
Alvins Audi,2.23M
DAUGLAS_FYP,2.04M
Africha Entertainment,2.01M
SUPER TAMUTAMU,1.64M
Sharma Boy,1.61M
Otile Brown Official,1.38M
K24TV,1.35M
Bahati Kenya,1.32M
RDHDComps,1.32M
RICHY HANIEL,1.29M
Simulizi Na Sauti,1.27M
Astaan,1.2M
Willy Paul Thee Pozze,1.15M
Nation,1.14M
Sauti Sol,1.08M
DIANA BAHATI,1.01M
HeroSmashers,1.01M
TT Comedian,1.01M
Coke Studio Africa,1M
Tuko / Tuco - Kenya,994K
Africha Movies,953K
Balanbaalis Studio,941K
HackerSploit,901K
Ebru TV Kenya,883K
CGTN Africa,851K
Lynn Ngugi,833K
Khaligraph Jones,801K
Kenya Digital News,792K
Lii Caato Officiall,789K
Nasra Abtidoon,789K
Salafmedia,787K
Victor Mochere,779K
AMLOISA,756K
Mungai Eve,754K
PPP TV,732K
Badbaado Channel,729K
Fecha Sharon,720K
DJ Lifa,720K
Flaqo Raz,709K
THE WAJESUS FAMILY,707K
Lil Baliil,700K
Ridhwan Issack,695K
Raage Abdi,677K
Henry DeSagu,673K
Ngila creative's,667K
Muniir official,647K
WILD AFRICAN SAFARI,641K
Switch TV,639K
NJUGUSH TV,639K
Msanii Records,638K
Nyashinski,635K
Maasai Sightings,631K
Jalango TV,623K
Crazy Kennar,622K
Tileh Pacbro,620K
xkcdHatGuy,619K
NOMADPROSTORY,611K
Nadia Mukami #AfricanPopStar,611K
Inooro TV,609K
Football Till I Die,587K
Guardian Angel Global,579K
Stephen Kasolo,575K
Fillaah Tube,568K
Abel Mutua,568K
Eric Omondi,564K
Dogo Charlie,557K
YAGO TV SHOW,554K
KTN HOME,552K
Tunes Of Africa,549K
Kenya News Alerts TV,533K
Terence Creative,530K
New Life TV KENYA,528K
Steel Inc Customs,504K
Mejja Genge,504K
DJ PEREZ,503K
shukri masala,485K
