Channel,Subs
BLACKPINK,92.9M
BANGTANTV,77.4M
HYBE LABELS,73.9M
김프로KIMPRO,32.5M
JYP Entertainment,28.7M
ToyPuddingTV,27.2M
1MILLION Dance Studio,26.3M
1theK (원더케이),24.7M
Mnet K-POP,20.8M
CuRe 구래,20.4M
KBS WORLD TV,19.5M
officialpsy,18.5M
Jane ASMR 제인,17.8M
GH'S,17.7M
JFlaMusic,17.5M
LEGO,17.4M
Hongyu ASMR 홍유,15.6M
BIGBANG,15.1M
Boram Tube ToysReview [보람튜�…,14.6M
서은일상이야기,14.4M
CRAZY GREAPA,14.1M
설기양SULGI,13.5M
BIBO와 장난감,13.1M
[햄지]Hamzy,12.3M
GONGSAM TABLE 이공삼,11.8M
ox_zung 원정맨,11.5M
TOMORROW X TOGETHER OFFICIAL,11.5M
핑크퐁 (인기 동요・동화),11.3M
DuDuPopTOY,11.1M
토이몽 TV - ToyMong Tv,11M
KKUBI STUDIO,10.9M
SEVENTEEN,10.8M
Stone Music Entertainment,10.8M
MBCkpop,10.7M
쏘영 Ssoyoung,10.6M
TwinRoozi 쌍둥이 루지,10.6M
Larva TUBA,10.1M
유백합 kkubi99,9.93M
SIO ASMR,9.87M
M2,9.67M
EXO,9.63M
문복희 Eat with Boki,9.59M
Boram Tube [宝蓝和朋友们],9.42M
이지금 [IU Official],9.41M
서은이야기[SeoeunStory],9.3M
ENHYPEN,9.24M
Mnet TV,9.1M
MBCentertainment,9.01M
ITZY,8.98M
KBS Kpop,8.55M
Byungari 병아리언니,8.45M
스브스케이팝 X INKIGAYO,7.88M
(G)I-DLE (여자)아이들 (Offici…,7.82M
JTBC Entertainment,7.76M
YG ENTERTAINMENT,7.73M
MariAndKids,7.65M
야미보이 Yummyboy,7.6M
Jin and Hattie,7.52M
TREASURE (트레저),7.41M
미니특공대TV,7.35M
5 분 Tricks,7.29M
SonicToy소닉토이,7.24M
푸디마마 Foodie Mama,7.22M
Cha Dabin,7.17M
Sungha Jung,7.15M
SBS Entertainment,6.99M
MAMAMOO,6.96M
ALL THE K-POP,6.89M
tvN drama,6.87M
SBS Drama,6.76M
Samsung,6.72M
NCT DREAM,6.67M
[장난감티비]TOYTV,6.65M
With Kids Playground [위드키즈…,6.64M
NewJeans,6.61M
팀일루션 노성율 - TEAM1LLUS…,6.41M
미니팡TV,6.32M
jenny slime,6.31M
소맥거핀,6.28M
NCT,6.25M
GOT7,6.23M
starshipTV,6.22M
채널십오야,6.18M
백종원 PAIK JONG WON,6.1M
PONY Syndrome,5.95M
영국남자 Korean Englishman,5.87M
MayTree,5.85M
PP,5.84M
PinkyPopTOY,5.79M
2NE1,5.69M
dsand,5.59M
푸메Fume,5.55M
NCT 127,5.55M
스위트티비 SweetTV,5.54M
SBS NOW / SBS 공식 채널,5.5M
베이비버스 -인기 동요・�…,5.44M
Red Velvet,5.42M
KBS Entertain,5.35M
aespa,5.35M
COREANO LOCO TV,5.33M
BT21,5.3M
콩순이 Kongsuni,5.25M
뽀로로(Pororo),5.23M
Jaeguchi,5.21M
[Awesome Haeun]어썸하은,5.13M
매일맛나 delicious day,5.09M
STUDIO CHOOM [스튜디오 춤],5.04M
떵개떵,5.01M
CoCosToy 꼬꼬스토이,4.98M
행복지수 103%,4.97M
Cooking tree 쿠킹트리,4.96M
SBS TV동물농장x애니멀봐,4.89M
HIU 하이유,4.88M
까니짱 [ G-NI : 蟹ちゃん],4.87M
JTBC Drama,4.86M
딩고 뮤직 / dingo music,4.84M
JaeYeol ASMR 재열,4.71M
FUNNY ?,4.69M
tvN D ENT,4.67M
여행 대통령ㅡ최박사,4.61M
LE SSERAFIM,4.58M
ZOEY ASMR 조이,4.56M
보경 Bokyoung,4.48M
Raon,4.48M
채널 NCT DAILY,4.45M
스마일밤 Smile Bam,4.44M
ARTBEAT,4.4M
BABYMONSTER,4.39M
하루한끼 one meal a day,4.37M
YTN,4.33M
키즈팡TV,4.3M
봉길이 Bonggil,4.3M
English Singsing,4.28M
Bree Animation,4.27M
허팝Heopop,4.19M
[Dorothy]도로시,4.14M
옐언니,4.14M
MBCNEWS,4.12M
로미유 스토리 Romiyu Story,4.1M
WINNER,4.07M
JTBC Voyage,4.06M
tvN,4.06M
SBS 뉴스,4.06M
이용원,4.04M
KBS Drama,4M
워크맨-Workman,4M
TV-People,3.99M
푸드킹덤 Food Kingdom,3.98M
제이제이 튜브 [JJ Tube],3.96M
청담언니,3.95M
이노냥 inoCat,3.92M
헤이지니 Hey Jini,3.88M
교광TV,3.86M
EBSDocumentary (EBS 다큐),3.84M
Lime Tube[라임튜브],3.83M
크림히어로즈,3.79M
Chihun ASMR 치훈,3.78M
유니가치 YuniGachi,3.77M
EVANS,3.76M
Scary Teacher Love,3.75M
drawholic,3.75M
Asian Boss,3.74M
옛드 : MBC 레전드 드라마,3.73M
Dr. EMO,3.72M
waveya 2011,3.71M
KARD,3.7M
밍투데이 MingToday,3.68M
백현 Baekhyun,3.66M
Boys Playtime,3.51M
THEBLACKLABEL,3.51M
Lala and Lulu,3.5M
Serena Art,3.49M
FOOD DILEX,3.47M
보겸TV,3.45M
사나고 Sanago,3.44M
EBS 키즈,3.43M
차린건 쥐뿔도 없지만,3.4M
JAY PARK,3.38M
디글 :Diggle,3.36M
IVE,3.35M
MariAndFriends,3.34M
솔라시도 solarsido,3.34M
조이밤 Joy_Bamm,3.32M
BEATPELLA HOUSE,3.32M
지무비 : G Movie,3.32M
꼬마버스 타요,3.28M
리월드RIWORLD,3.27M
럭키강이 LuckyKang i,3.27M
유디티TV,3.26M
odg,3.26M
JTBC News,3.25M
AKMU,3.24M
흥삼이네 Heungsam's Family,3.23M
총몇명,3.23M
TVCHOSUN - TV조선,3.19M
SBS Catch,3.19M
