Channel,Subs
NBC Digital News,118K
The Namibian,54.8K
jnsuzR,50.6K
TopCheri What What,44K
Penni Matheus,43.1K
OneAfrica,37.2K
king Tee Dee,33.2K
Freeda official,26.5K
LAGOS OFFICIAL,20.8K
MAMBA'S MANSION,17K
#Nukhoe //Hanis,16.9K
IMMAPlCCOLO,16.6K
Namib Sounds,15.8K
Namibia Press Agency,14.3K
Ewi Lyomwiigidhi Mombuga,13.9K
M GEE ndumbaking,13.8K
MastaMix Official,12.4K
Crazy Haired,12.2K
Kaptein Official,12K
zizhericles,12K
Karen D'Emiljo,11.9K
Charmy,11K
MsGameNoobs,10.7K
novasupa,8.89K
JOSM TV,8.65K
INCH Media Pro,8.13K
We go Wild,7.86K
M.U Royalty,7.52K
Blossom,7.42K
Hamu Gill,6.67K
ULTIMATE RHYTHM Ent.,6.55K
MixedByMissQueen,6.44K
M.I.G,5.82K
bigbennamib,5.6K
collective•com•na,5.15K
NTA Live Your Passion,4.91K
Jeppson Giano,4.82K
OXOCORDS NAMIBIA,4.78K
Stefan Falk,4.69K
Kwatouta Katenda,4.63K
New Era Live,4.56K
FOREX VISIONARIES NA,4.52K
Beautybyliane24,4.48K
Memri oxox,4.47K
KEITU MK,4.45K
Institute for Open learning,4.45K
NAM MUSIC ALWAYS,4.42K
BLACKPEARL VISUALS,4.39K
flurrxia,4.15K
Tube Master,3.95K
NUST FM,3.9K
Coolcat Productions,3.8K
Davy Kambinda,3.78K
PPC Windhoek,3.67K
MODS,3.58K
Cool Under Pressure,3.57K
GIOA7,3.49K
Lüderitz Speed Challenge Namibia,3.46K
H.R Dynasty,3.44K
FNB Namibia,3.42K
Informanté,3.4K
Ella Nghifindaka,3.39K
Emmanuel Rose,3.2K
Tv2Namibia,3.18K
Shakoma,3.17K
Golden 'Kweens,3.11K
DICE #1 STUNNER,3.04K
Tips So Cool,2.98K
Sunshine Private School,2.93K
DAV Sushil Kedia Vishwa Bharati,2.85K
i need sleep,2.78K
Судовой Электроме�…,2.76K
Dj Plezz,2.64K
THE CAPRIVI VISION NEWSPAPER,2.62K
Gustavo Massula,2.62K
Zoom Lens Media,2.59K
Ongenga epps,2.5K
The Real Mafia,2.48K
Amapiano Lovers,2.45K
Eulandie Telo,2.44K
Elanay Wimmerth,2.44K
HarnasWildlife,2.38K
Aina Sheya,2.37K
That girl from Onathinge,2.33K
Khomas Highland Hunting Safaris,2.25K
6nation,2.23K
Namibia University of Science and …,2.22K
Paul Da Prince,2.21K
MovieCheck Entertainment,2.15K
Official Nga-I,2.15K
Remedies By Chambea,2.13K
Marianne Burger Studio,2.02K
Standard Bank Namibia,2.01K
RadiowaveNews,1.93K
Loneliness,1.82K
Darioh Namibia,1.79K
Jofie Lamprecht,1.75K
Selma Neshiko,1.74K
Manfred Werner,1.66K
almawaddah. love,1.64K
Kambaku Wildlife Reserve,1.57K
Throttle - Dirtbikes,1.56K
Nam Crypto Hustler,1.54K
House Guru Gang,1.52K
Explore Africa Travel,1.5K
Platonic Academy Namibia,1.48K
Kanyanga Media,1.45K
NUSTNamibia Library,1.43K
TOP NOTCH MEDIA,1.42K
MUSIC IS LIFE.,1.4K
N/a'an ku se Foundation,1.39K
Vox Vitae Musica,1.39K
Marcello Savoldelli #NCMusic,1.38K
AMALIA 432hz,1.35K
purity katukula,1.32K
Emmanuel Church Windhoek,1.27K
KR8 Media Namibia,1.23K
David REY Omanda Desert & Wildlife…,1.23K
Cool Hitss,1.22K
rustyATV,1.19K
One Accord,1.16K
jozev samuel,1.14K
Himba Boi,1.12K
Pupkewitz Megabuild Namibia,1.11K
JohnTwenty,1.09K
Zombie Xplorers,1.08K
Kalahari Reporters,1.06K
Berthold Mbinda,1.06K
RealIsRarena,1.05K
fessy9000 Music,1.04K
FUTURE MRS HUSBAND,1K
Ghetto Ballerina,986
Candid Talks with LauVena,966
ELTON EUGENE,960
JD,954
Protech_Creative,954
NIAHAVEN,947
Fillemon T Amwele,926
SteffenVlogs,920
wiiwiiguy,917
Locco Gang,912
MAJOR PLAY,905
BEAT OF NAMIBIA,892
Namibia Tourism Board,890
BLVE JAY,885
Fun Family TV,880
Tafel Lager,870
Michael Gawanab,866
The Kahale's,864
wxllyz maranda,860
Kakunaa Katuuo,845
Lakeisha Lansdorf,840
P1_SAVAGE,836
National DNA Database,832
ERUNDU COMBINED SCHOOL,825
Kayasa Beats,821
Bites With MrCEO,815
Agapé Windhoek,803
Bruce Mpahleni,801
Ndeya Gabriel,799
directedbyriz,790
Ruby&Riio Ent.,785
OLD REPUBLIC MEDIA,782
Eldon Mauha,776
Helao H Timothy,770
Afridrones Aviation,760
Diary Of Malu,760
Voorsorg,742
Sharon Zaaruka,740
Daizy Reen,736
The Lazy Boy,734
Animep4evermix || Hiatus,730
TRUTH 2 FREEDOM,719
Rita Jod,719
Namibia Film Commission,715
African Vocals,702
Tekno Bilgi,701
Tau Blac,698
The INN O CENT Family,695
"Sr. Theresia Shilongo, OSB",693
Bankie Gorilla,688
NewRea Photos,687
boltz,659
Ngeve K,657
Gang Walikan,657
NAM-SKY Productions,650
Namibia Investment Promotion and D…,645
Magreth “Maggy” Frans,640
Windhoek Gymnasium Junior Primary …,633
Heather Bock,621
Srijo in Namibia,621
TrynnaxPP,600
Naruserodi 3Sisters,599
vibe_kxng,596
Nelao Nengola,593
Restoration Namibia,590
Eric Verburg,581
Masiyaleti Mbewe,574
Natasha Kitavi,569
Dean Noah,568
Pionierspark NG Gemeente,563
The lord of noobs,560
Makalani Productions,559
Geroezemoes,557
A Mbadja girl called Sissy,556
Jase - official,549
frontliner2,543
K A V E E,536
Illmatic,530
King Vic Tabakan,527
Herrika David,526
Jade Black,519
Nicko Zamaleck,517
Elidge Official,511
Shepura,509
The Great Facilitator,496
SASSCAL FILMS,496
Chinese drama Lover ?‍♀️,487
Unknown_6lack_official,479
Young Disciples choir,479
Morenga,478
Thandiwe Hamieb,468
Joomla Mount,464
Tuli Ya Kaputu,464
This is Namibia,462
Sunflowertuli,459
Fesse Amunyela,458
Namibia Nature Foundation,457
Angelina MK,440
Kaylah Cordom,438
Prince Manuel,437
3tuhole,429
Untitled - The Web Series,428
Josh Wallace,427
Paratus Africa Group,426
Wildlife Vets Namibia,425
KARENCY NA,423
Zambezi Queen Collection,412
Francois Kok,410
It's. premo,402
JiggyHypePope,402
TURNSCAPE MEDIA GROUP ?,401
SNUBBA GLUBBA REGULAR TAPE DUBS,399
STARGXZE RECORDS,396
sashk011,392
Gettie Mulokoshi,391
Juntoz,390
lifeWithNgutji,385
SemDoesEverything,385
Grace Gama,384
Earthy Acoustics,375
Bonnymb1_Official,375
Jacques Strauss,370
Prophet Fearless,370
Nautilus Namibia,368
Dumée De Meillon,365
Leah Misika,365
Nicolas Namibie,362
Join RoyaloV,353
Andrè Vorster,352
LifeWithMeg x,351
Erindi Private Game Reserve,350
MisterszKP,346
GEN Namibia,345
Jayla Vries,345
simply Paula,336
Naukie N.,336
Jay EighG,336
Advantage Advertising Namibia,335
NMR,333
Brandberg Global,333
Esther Devine,332
Iam. Nonhlanhla,329
Noro Vibe,329
FoZoHD,326
DukeNukem111111,324
Chilling Amigos,323
ThatGuy Explained,323
Leaflove Safari,322
AFRO NATION RECORDS,321
Bella Believe It,319
Julius Indongo,318
REST Namibia,316
FusionXMediaTV,315
Kwxme Sankxrra,314
jeimo_fly,314
Gaming with BJ,313
Shiri Namibia,311
Don Jeezy Esimbi,308
FadingReign,306
Joy Joy,303
THE CENTRALITES,299
na.Tangeni,298
Distraction hacker,297
Evert Vorster,296
Elvit Uritura,296
TWO SONGS,295
Fun & Lifestyle with Max,295
Duncan Mouers,293
Artist Gang,292
Walking Triumphantly,290
JeroenH,289
Johannes Lasarus,285
Wikus Viljoen,283
Tru banks tfl,279
Manzo_OfficialVevo,275
CYMOT Namibia,274
DJ SONG 455,273
Vesion,273
OSH-Med international,272
Jessany,267
Mbwangu Kaniita,266
Chandralama,263
Emarehi Oherein,259
