Channel,Subs
MarkAngelComedy,9.04M
Rema,4M
CKay,3.94M
SamSpedy,3.22M
Official Flavour,3.2M
Channels Television,3M
Editorial skin Doctor 556,2.93M
Kizz Daniel,2.87M
ANTVIEW PICTURES,2.61M
Agbaps Shorts,2.59M
AFOREVO STAGE,2.46M
officialpsquare,2.42M
Nollywoodpicturestv,2.35M
Yemi Alade,2.33M
MavinRecords,2.27M
EeZee Global,2.27M
SINACH,2.2M
brightlight Comedy,2.1M
mumu Police comedy,2.03M
HouseOfAjebo,1.96M
official BRODA SHAGGI,1.87M
Jackson react,1.87M
Pastor Jerry Eze,1.86M
Omah Lay,1.85M
Sandra Okeke,1.81M
God’s Message TV,1.76M
MANARI TV,1.71M
RudeBoy Official,1.68M
Ayra Starr,1.65M
Patoranking,1.59M
RuthKadiri247,1.59M
Nollywood RealnollyTV,1.57M
Nathaniel Bassey Main,1.56M
PrideNolly tv,1.47M
MOVIES WEB,1.42M
Success Secrets TV,1.39M
KODI TV,1.39M
Mark Angel TV,1.37M
Tiwa Savage,1.37M
Neptune3 Studios,1.34M
Nigerian Movies Plus,1.34M
Jhanzou,1.27M
Brain Jotter,1.27M
Officialkoloboy1,1.21M
UG Toons,1.2M
BAKORI TV,1.17M
Uchenna Mbunabo Tv,1.17M
NELTV CLASSIC MOVIES,1.15M
Izah Funny Comedy,1.15M
Yorubahood,1.13M
Firstnollytv,1.13M
World Of Wonder,1.12M
Ejimozy,1.12M
LatestNollywoodTV,1.11M
Nollywood5star,1.09M
Dyno Airdrop,1.07M
NollywoodMoviesTV,1.07M
DMW HQ,1.04M
SIRBALO STUDIOS,1.04M
Guchi,1.04M
Damilola Mike-Bamiloye,1.03M
TVC News Nigeria,1.02M
CelebrationTV,1.02M
Swing D Comedy TV,996K
Mc Shem Comedian,994K
MagicNollyTV,992K
Zeelicious Foods,985K
SisiYemmieTV,984K
Saira Movies,981K
Real Aba boys,979K
CHUKWUEMEKA TV,971K
Moses Bliss,970K
Simi,968K
OfficialSparklex,952K
Koinonia Global,943K
GHENGHENJOKES,932K
Oga Sabinus,907K
IBAKATV,900K
YAWA SKITS,872K
AFRICAN MAIN STREAM TV,869K
Jimmy D Psalmist,866K
OfficialiamDikeh,859K
AdaKirikiriTv,854K
OfficialTimaya,850K
