Channel,Subs
Alan Walker,44.9M
"SaraBeautyCorner - DIY, Comedy, Ma…",10.7M
Soothing Relaxation,10.7M
thelovelyhorrorshow,7.42M
Kygo,6.74M
AURORA,5.57M
Red Arcade,4.94M
Frog Leap Studios,4.75M
pellekofficial,3.93M
MKIceAndFire,3.74M
Dani,3.55M
NewMelody,3.5M
Marcus & Martinus,3.39M
Nerdforge,3.04M
MrSavage,2.97M
Wiry,2.96M
Isawi,2.81M
K-391,2.53M
TV Norge,2.15M
Magnus Midtbø,2.11M
Sariq Bola TV,2.09M
PowerThoughts Meditation Club,2.01M
a-ha,1.88M
Two Steps From Hell,1.67M
Xendio,1.67M
Being Artistic,1.6M
Tech Engine HD,1.49M
Kan Andrey,1.44M
AlexanderRybakVideo,1.43M
Qalandar Production,1.41M
line laagasken,1.4M
apetor,1.39M
KokiriGaming,1.28M
kazzaz,1.24M
Dani2,1.24M
LillePekka,1.22M
studytee,1.21M
Christian Wedoy,1.2M
Diva Angel Life,1.2M
Nico & Vinz,1.19M
Magnus Carlsen,1.17M
Easy Mouse trap,1.17M
Astrid S,1.16M
BEAMNG MADNESS,1.13M
Alternate,1.09M
Albino,1.08M
Tungevaag,1.07M
Wirtual,1.07M
Mahmoud Al Eisawi,1.03M
Tempex,1.02M
ZenLifeRelax,1M
THAIBEATS,988K
NRK P3,973K
Luxury Hub,967K
MarioZenium,880K
Heba Nahhas l هبة نحاس,876K
Lost in Time,849K
Baaba Jeey,804K
Qulasada Filimada,803K
Lil Bored,794K
Cecilia Blomdahl,785K
Yoruba Movie Recaps,778K
Miss DeepShine,765K
Box Yourself,756K
Sardor Domla,751K
Asbjorn Olsen-Berg Bushcraft,731K
wardruna,720K
Live MarcusT,711K
Revan DOLAN KANDANG,707K
Thaís Chagas,690K
TheJumiFilm,683K
SARA,682K
Ethereal Music,677K
Dunkee,676K
2SANDER7,657K
ShibeNation,649K
Polyfjord,634K
Bjorn Andreas Bull-Hansen,624K
PistolShrimps,606K
Nobel Peace Prize Concert,588K
Mellow,586K
Back Guy,584K
Mobile Arcade,566K
Daily Pak News,565K
Powerz,557K
WirtualTV,550K
ZNac,549K
Arctic Empire,547K
?OMB?,544K
Waterflame,519K
Sợ YTB,516K
yoongitea2,515K
RailCowGirl,504K
Herman Playzシ,499K
Vexento,497K
CİYA Yanardağ,492K
Cartoonito Norge,491K
Oz Saj,485K
CoComelon Norsk - Barnerim,482K
Gopher,479K
Tungevaag,475K
Garaad TV,473K
Sunny,461K
Anders Heli Hansen,457K
Madcon official,457K
Emma Ellingsen,456K
Auntie Bangit,445K
Röyksopp,444K
Thehella,437K
EG Mines,435K
Dagbladet,433K
Discoverize,432K
Levi Johansen,429K
ZourChip,426K
VIRTUE Clan,424K
