Channel,Subs
ARY Digital HD,51M
HAR PAL GEO,50.6M
HUM TV,35.2M
Salman Noman,19.6M
BROTHERS VLOG,16.4M
Geo News,15.2M
Coke Studio Pakistan,14.9M
Moosa Tv Info,13.9M
ARY News,13.1M
Chota Ali vlogs,13.1M
Heera Gold,12.8M
Ak Ultra,12.1M
AJ Official,10.5M
SAMAA TV,10.2M
abdul_mj,9.12M
Islamic Teacher Official,8.97M
Peep Peep,8.59M
UrduPoint.com,8.54M
Nouman Hassan,8.16M
Tariq Jamil,8.02M
malik abubaker,7.82M
TharProductionPak,7.79M
G_Factz,7.6M
Dunya News,7.32M
BOL News,7.18M
LRK Fact,7.14M
m_ahmed_b,6.82M
Ducky Bhai,6.6M
Mehrban Ali,6.42M
Dramas Central,6.37M
Talk Shows Central,6.28M
Hukam Ali,6.23M
Kch Multimedia Naat,6.17M
Pyaar Lafzon Mein Kahan,6.15M
Random Hands,6.1M
Studio5,5.78M
ISPR Official,5.65M
A Plus Entertainment,5.64M
BOL Network,5.58M
Lucky Sayed,5.57M
Pakistan Cricket,5.25M
Hafiz Tahir Qadri,5.21M
Shehr Main Dihat,5.2M
92 News HD,5.01M
Top Pakistani Dramas,4.86M
DASH CAM CN,4.81M
Pakistan Super League,4.75M
Zem TV,4.64M
Haqeeqat TV,4.63M
Imran Riaz Khan,4.56M
Food Fusion,4.56M
BaBa Food RRC,4.44M
Kitchen with Amna,4.39M
Islam Advisor,4.38M
Best Pakistani Dramas,4.35M
S Plus,4.34M
Mudassir Talks,4.25M
The Urdu Teacher,4.12M
Village Food Secrets,4.1M
Amina Hussain,4.05M
Green TV Entertainment,4.02M
Shaheen Studio,3.94M
Express News,3.9M
shaheer jutt,3.85M
BaoRami Edits,3.84M
Zeus Shorts,3.84M
Rai Arslan Liaqat,3.83M
Maaz Safder World,3.81M
One Day 2.0,3.77M
Celebrity News,3.77M
Hasnain Technical,3.74M
Rohail Voice,3.73M
Qasim Ali Shah,3.7M
Sistrology,3.69M
Dilkash Beauty,3.63M
Voice Daily,3.59M
Unisys Music,3.57M
Express TV,3.56M
Sahir Ali Bagga,3.55M
Dumb TV,3.53M
Daily Pakistan Global,3.52M
Naya Pakistan,3.5M
Islamic Vfx,3.34M
Madani Channel,3.33M
Rokhri Production Official,3.3M
Allah Ki Qudrat,3.29M
Info Industry,3.27M
