Channel,Subs
ABS-CBN Entertainment,46.9M
GMA  Network,34.3M
Raffy Tulfo in Action,27.4M
GMA Public  Affairs,22.4M
Ivana Alawi,17.4M
ABS-CBN News,15.8M
Niana Guerrero,15.6M
Ranz Kyle,15.2M
Wish 107.5,14.6M
GMA Integrated News,14.3M
Zeinab Harake,14M
Alex Gonzaga Official,13.6M
Ja Mill,12.5M
Cong TV,11.7M
Donnalyn,9.83M
Doc Willie Ong,9.22M
ABS-CBN Star Music,8.79M
ABS-CBN Star Cinema,8.67M
Junell Dominic,8.27M
Vice Ganda,7.99M
Wowowin,7.8M
Jelai Andres,7.73M
fliptopbattles,7.67M
KAYCEE WONDERLAND,7.05M
Toni Gonzaga Studio,6.97M
AKOSI DOGIE,6.65M
Viy Cortez,6.61M
ChooxTV,6.55M
Geo Ong,5.89M
BITAG OFFICIAL,5.84M
Lloyd Cafe Cadena,5.8M
"Regal Entertainment, Inc.",5.65M
Von Ordona Vlogs,5.47M
Agassi Ching,5.42M
TinoKidsTV,5.41M
Eat Bulaga!,5.29M
Ex Battalion Music,5.25M
The Hungry Syrian Wanderer,5.11M
Pinoy Big Brother,4.98M
angelicajaneyap,4.36M
VIVA Films,4.34M
Tukomi,4.2M
Kathryn Bernardo,4.15M
One Sports,4.14M
Andrea B.,4.12M
Ser Geybin,4.03M
iWantTFC,4M
Rowvery Trinidad,3.97M
Skyheart's Toys,3.96M
UNTV News and Rescue,3.83M
News5Everywhere,3.76M
MechanicZ,3.75M
Kristian PH,3.74M
Cequas,3.66M
CoversPH,3.65M
Clark TV Official,3.65M
Claro the Third,3.61M
Viva Records,3.6M
Ogie Diaz,3.55M
RACHEL WONDERLAND,3.53M
Lloyd Cafe Cadena VLOGS,3.52M
Jomar Lovena,3.49M
SB19 Official,3.46M
Jak Roberto,3.43M
Boss  Keng,3.37M
Leti Sha,3.36M
FEATR,3.35M
Heroson Crafts,3.33M
keith talens,3.31M
The Squad 2022,3.29M
Elgin,3.28M
Moira Dela Torre,3.27M
Pugong Byahero,3.26M
LIVELOVEPARTY.TV,3.25M
YoursTruly VJ,3.24M
Vividplays Channel,3.23M
Bea Alonzo,3.21M
Donekla in Tandem,3.21M
Michelle Dy,3.19M
JenAnimation,3.18M
Kim Chiu PH,3.16M
Nats Venturina,3.08M
Andrea♡,2.96M
Ben&Ben,2.95M
Skusta Clee TV,2.95M
Love Marie Escudero,2.93M
Miniature Cusina,2.93M
Jp Amazing Stories,2.93M
Innah Bee,2.9M
Makagago Wazzup Man,2.86M
EmmanNimedezTV,2.83M
Kaalaman,2.76M
Bongbong Marcos,2.75M
KrisTells Vlogs,2.74M
Wil Dasovich,2.73M
Riva Quenery,2.69M
Intalord,2.68M
Kalingap RAB,2.68M
Yow,2.65M
Happy Islanders,2.64M
BEKS BATTALION,2.6M
Little Mob Craft,2.58M
Unbox Diaries,2.58M
Faviso,2.56M
TechRam,2.55M
Von Ordona Gaming,2.54M
Chinkee Tan,2.52M
Stonecraft Studios,2.52M
Princess Thea Patriarca,2.5M
Oliver Austria,2.5M
Pamela Swing,2.46M
Pilipinas Got Talent,2.45M
Universal Records Philippines,2.45M
Sachzna,2.45M
Jeepney TV,2.45M
Grown Ups Kids' Toys,2.44M
Idol Philippines,2.43M
Kooleen,2.41M
Evo Kaloko,2.38M
Herlene Hipon,2.37M
Grae Cabase,2.36M
Luis Manzano,2.35M
El Milo Gato,2.35M
Kath Melendez,2.35M
MrPogz Zamora,2.34M
CantPlayCODM Studio,2.34M
zanny,2.33M
Wilbert Tolentino VLOGS,2.31M
Fumiya / FumiShun Base,2.3M
Shaina Denniz,2.29M
Leteziaz,2.28M
Mona Alawi,2.27M
iNSECTiON,2.27M
PlayofEL,2.26M
MelaSon Family,2.25M
Team Lyqa,2.21M
MR. KED More Content,2.2M
Rainimator,2.19M
Francine Diaz,2.19M
Justin Vasquez,2.18M
Chad Kinis,2.17M
Pinoy Music Lover,2.17M
Zack Tabudlo,2.17M
Gabay sa Kalusugan - Dr. Gary Sy,2.15M
Mike Inel,2.14M
PAPA JESUS MANUNUBOS,2.14M
FLOW G,2.13M
Ninong Ry,2.12M
Small Laude,2.11M
Panty Droppaz League,2.11M
Win YT,2.1M
YoüLOL,2.09M
Jose Hallorina,2.08M
Andree Bonifacio,2.07M
Lyca Gairanod,2.06M
GMA Playground,2.05M
Buboy Villar,2.05M
Gigi Vibes,2.05M
kudosXkiddos,2.04M
Doc Adam,2.04M
TEAM HAPI,2.03M
ABS-CBN It's Showtime,2.01M
The Voice Teens Philippines,2.01M
RENE JAY,2.01M
Mary Bautista,2.01M
MOREntertainment,2M
MrPankeyk,2M
Inventor HD,2M
Mother Kween Vlogs,2M
Rappler,1.99M
Gratienza Entertainment,1.99M
Jay Costura,1.99M
Pinoy Videoke Tambayan,1.98M
Charoot XD,1.97M
DASURI CHOI,1.93M
ML DiscipleGaming,1.91M
Atomic Karaoke,1.91M
KYO QUIJANO,1.89M
PTV Philippines,1.89M
Aurea & Alexa,1.88M
SY TALENT ENTERTAINMENT,1.88M
Virgelyncares 2.0,1.88M
PinkLeaf,1.87M
STEPHEN,1.86M
Alodia Gosiengfiao,1.85M
The Boy Abunda Talk Channel,1.85M
kingLuckss,1.85M
Baninay Bautista,1.84M
Chixmiss,1.83M
Sarahlyn Arts,1.82M
Karen Davila,1.82M
Billionaire Gang,1.82M
VinCentiments [OFFICIAL],1.8M
MPL Philippines,1.8M
Bont Bryan Oropel,1.8M
TiTo Vince,1.79M
PilipinasTV,1.78M
Showbiz Philippines,1.78M
PepeSan Animations,1.77M
JM Barrera,1.75M
Billie Kendall & Bryelle Kaelie,1.74M
Never Grow Old,1.74M
REED,1.74M
deadpaul19_ph,1.73M
Erich Gonzales,1.73M
Adam Alejo,1.72M
PRO music COVER,1.72M
Travis in WONDERLAND,1.71M
One Animation,1.71M
Ryan Bang,1.71M
Wilbert Ross TV,1.69M
Mygz Molino,1.68M
MC Toons,1.68M
TV5 Philippines,1.67M
Liza Soberano,1.67M
INQUIRER.net,1.66M
Love Radio Manila,1.66M
PH Secret Files,1.66M
Madiskarteng Nanay,1.66M
Annica Tamo,1.65M
Cinema One,1.64M
BARTOLO BROTHERS,1.63M
Meet Maja,1.63M
Doc Willie & Liza 2nd Channel,1.63M
simply rhaze,1.62M
Kimpoy Feliciano,1.61M
Kuya Magik,1.61M
PaoLUL,1.61M
Kristel Fulgar,1.6M
KHIFER official VLOG,1.59M
H2WO,1.59M
Reneé Dominique,1.58M
ABS-CBN Sports,1.58M
ASK TEACHER POPONG,1.58M
BNT Production,1.58M
Kuya Fern's Cooking,1.57M
Chris Cantada Force,1.56M
Rei Germar,1.56M
Jamine-Aki_ Artz,1.56M
ANC 24/7,1.55M
Vikachka & Eugene,1.55M
RogerRaker,1.54M
PHianonize,1.54M
CELEBRITY STORY,1.53M
Ethel Booba,1.52M
Kryzzzie,1.51M
Daryl Ong Official,1.51M
OPM Love Songs,1.51M
Love Angeline Quinto,1.51M
Anne Clutz,1.5M
IronCraft Studios,1.49M
Yey Channel,1.49M
PepeSan TV,1.48M
Mastermind Official,1.48M
Pol,1.48M
The PINOY Channel,1.47M
MYX Global,1.45M
OtakuKart,1.45M
Naifh Alehydeb,1.44M
Ekta More,1.44M
Nina Bacani,1.43M
Sanya Lopez,1.43M
Mariel Padilla,1.43M
Guthrie Nikolao Benidic Fragata II,1.43M
The Hungry Syrian Family,1.41M
Agsunta,1.41M
I Can See Your Voice PH,1.4M
AiZi CHANNEL,1.4M
CNN Philippines,1.4M
Matthaios,1.4M
MAASIM TA VINES,1.4M
Ion Perez,1.39M
Kusinerong Arkitekto,1.38M
Jessy Mendiola,1.38M
LaminZu,1.38M
Your Face Sounds Familiar,1.38M
Val Santos Matubang,1.38M
San Carlos Viners,1.38M
Matthewcraft,1.38M
JamichTV,1.37M
Al Auacay,1.37M
Dwaine Woolley,1.37M
Jong Madaliday,1.37M
Jessica Lee,1.37M
Ella Cruz,1.36M
Loonie,1.36M
The ECQ BLOOMS garden,1.36M
WreckTV,1.36M
Julia Barretto,1.36M
Boss Toni,1.36M
Christ’s Commission Fellowship,1.35M
MONICA WINSLETH,1.35M
Michael V. #BitoyStory,1.35M
Zarckaroo Vlogs,1.35M
Z4PNU,1.35M
INUYASHA,1.35M
Edwin Hurry Jr.,1.35M
Tipid Tips atbp.,1.34M
Dr. Vicki Belo,1.33M
Neil Enriquez,1.33M
KABAYAN HADJIE VLOG,1.32M
Papa Dudut,1.32M
Tita Krissy Achino,1.32M
The Voice of the Philippines,1.31M
RoseMarTV,1.31M
Unexpected But Planned,1.31M
Candy Pangilinan,1.3M
Monica Bianca,1.3M
Siquijor Viners,1.3M
Yeng Constantino,1.29M
polyeastrecords,1.29M
Shopee Philippines,1.29M
Jonathan Delacruz,1.29M
Aj Raval,1.29M
TIKTOKIA,1.29M
ThatsBella,1.28M
IDOL Toons,1.28M
Jennylyn Mercado,1.28M
Nicole Caluag,1.28M
Bugoy na Koykoy,1.27M
DJ LOONYO,1.27M
Arvin Polo TV,1.27M
Tropang LOL,1.26M
Kyle Echarri,1.26M
SENPAI KAZU,1.25M
Pilipinas Viral Trends,1.25M
Gandang Kara,1.25M
FSF ART,1.25M
JM Animated,1.25M
Niel Padilla,1.25M
Evan Tan,1.23M
iSportZone,1.23M
Luzon PH,1.23M
Erwin Tulfo,1.23M
Kusina chef,1.23M
Scyte,1.21M
MotoDeck,1.21M
FoodNatics,1.21M
LazySly,1.21M
Maris Racal,1.2M
Mr. Pantas,1.2M
Blantados,1.2M
Bamlife,1.2M
Bun&Daisy?,1.19M
Natalia Guerrero,1.19M
juan karlos,1.18M
Vin FPV,1.18M
Neko-nyah,1.18M
NICK BANAYO KUMANDER BANTUGAN,1.17M
About RAF,1.17M
Concon Felix,1.16M
Sangkay Janjan TV,1.16M
One PH,1.16M
LeonMata Tibi,1.16M
CHERRYL TING,1.15M
Pambata TV,1.15M
Yogiart,1.14M
Mr.wallpaper,1.14M
Hypebits TV,1.14M
anneclutzVLOGS,1.13M
BeeBuYog,1.13M
YAWI ESPORTS,1.13M
SEFTV,1.12M
KevinHers,1.12M
Arthur Miguel,1.12M
Michael Pangilinan (Official),1.12M
Jevara PH,1.12M
AD BEAT,1.11M
BecomingFilipino,1.11M
