Channel,Subs
Nick Jr. em Português,6.2M
WildBrain Português,5.03M
SirKazzio,4.9M
D4rkFrame,4.88M
Temperos e Sabores,4.74M
Detección Metálica,4.2M
TechZone,3.87M
wuant,3.69M
Maya e Mary - Canções infantis,3.53M
Fer0m0nas,3.21M
Panda E Os Caricas,3.08M
FEEL MY STYLE,2.91M
Nu Meditation Music,2.75M
Os Amiguinhos Contos e Historinhas,2.62M
Catarina Paolino,2.57M
Olena Starodubets,2.45M
Spice Bangla,2.36M
Hugo Lemos,2.23M
MIRACULOUS - As Aventuras de Ladyb…,2.09M
Gabriel Herrera,2.06M
Dima e Carros,1.98M
V Kids,1.96M
Lorenzo F7,1.93M
TVI,1.88M
Dreamau,1.8M
Windoh,1.72M
MineSchool,1.7M
Mari Asmr,1.66M
自说自话的总裁,1.65M
Nuno Agonia,1.6M
Klasszik,1.54M
ДИРЕКТОР ЮТУБА,1.54M
Histórias engraçadas de Heidi e …,1.49M
Cakepedia,1.48M
Clevoo,1.46M
The Voice Portugal,1.35M
MMG - GOSPEL,1.34M
LixianTV,1.32M
o manze,1.29M
Lucy Canções Infantis,1.24M
K Tech,1.2M
FutMakes,1.19M
Eatyourkimchi Studio,1.18M
Kids Channel Português - Vídeo P…,1.18M
Selson da Fonseca,1.17M
Município Boticas,1.16M
анзер,1.15M
DIÁRIO PRIVADO,1.15M
Alex Santos,1.14M
Pi,1.12M
RicFazeres,1.11M
SEA3P0,1.08M
Fred e Luana,1.06M
Ruhi Çenet Português,1.05M
The Animal World,1.04M
Tiagovski,1.03M
Vidisco,1.02M
Moozika,1.01M
Tubalatudo,1.01M
Carmem Lu,969K
MAKEUP BEAUTY,948K
Daniel Oliver,947K
Mariana Ribeiro,907K
GET HANDS DIRTY,904K
Maffin,904K
Andre Antunes,873K
Daria Callie,866K
David Carreira,850K
General Knowledge,848K
O Português,841K
RECORD EUROPA,816K
Lovemotives Meditation Music,811K
TURMA TIN,808K
ZigZagGamerPt,789K
Bernardo Almeida,782K
Mariana Vieira,769K
ПЛАНЕТКА,763K
CLARK PLUS,757K
A Bruxinha Tatty - Desenhos em Por…,749K
Mia Racikova,742K
Sonhos com Dimensão,736K
Decorando e Reciclando,731K
Os melhores truques de Fabiosa,719K
Fonte Divina,706K
Piruka,704K
Aniplot,704K
Mr Nikki,701K
Fernando JC Pereira,681K
Cyber Chaos Crew,678K
É-KARGA MUSIC ENT.,674K
Cozy Rain,671K
HUGEL,669K
BD football 001,659K
Balavala,653K
RTP,644K
Science Time,632K
DrM4ster,630K
The Voice Kids Portugal,630K
Louve O Senhor,625K
Gallo Music Record,618K
KazzioTV,610K
Divine_1,610K
Cristiano Ronaldo,605K
Luciana Lopes - HAMPY,604K
Ruca - WildBrain,597K
Espacial Música,596K
Sana's Bucket,591K
M O S T L Y strings,587K
Anselmo Ralph,578K
Mafalda Creative,578K
verbovivoTv,576K
Wet Bed Gang,573K
Ellena Galant,572K
Gerilson Insrael,571K
Adriano Ávila,570K
FenixGamer PT,562K
AlexandreSantosComedy,561K
Música Mpb Brasileira,558K
Nuno Santos,549K
XPTO Games,546K
Amigos I Love Doramas,546K
Júlio Freitas,544K
Mr Bean em Português,544K
MALUCO BELEZA,537K
BrunuhVille,536K
АрабиЯ,527K
Code Monkey,513K
Animation Lobby 2,507K
Tiago Catarino,507K
Rudraksha TV,506K
