Channel,Subs
Bad Bunny,47.5M
Ozuna,36.6M
NickyJamTV,23.8M
Hear This Music,14.7M
Rauw Alejandro,13.4M
DANIEL EL TRAVIESO VIDEOS,12.2M
Arcangel,12.2M
Bryant Myers,8.92M
Jon Z,7.01M
Residente,5.95M
Plan B,5.89M
Jay Wheeler,5.56M
BrytiagoTV,5.44M
Eladio Carrion,4.6M
elvecindariocalle13,4.34M
Guaynaa,3.45M
Lenny Tavarez,3.16M
De La Ghetto,3.07M
Jowell & Randy,2.87M
Ele A El Dominio,2.85M
Jamby El Favo,2.84M
Kany Garcia,2.69M
BabyRastayGringo,2.66M
Mora,2.61M
"Tito ""El Bambino""",2.46M
MoluscoTV,2.44M
Daniel El Travieso Musica,2.27M
Rimas Music,2.14M
AlexisyFidoOfficial,2.1M
Darkiel,1.86M
Gilberto Santa Rosa,1.51M
Nio Garcia,1.48M
Revol,1.48M
DJ Nelson,1.45M
Young Miko,1.42M
Juhn,1.33M
Chente Ydrach,1.31M
DarkMoose,1.28M
Elvis Crespo,1.26M
Los G4,1.18M
Christian Daniel Oficial,1.17M
Cultura Profética Oficial,1.16M
NazzaTV,1.01M
Tempo,1M
Desiree Lowry,994K
RPTN,953K
Chencho Corleone,933K
Javiielo,874K
Gigolo Y La Exce,778K
Samuel Hernandez,761K
Gotay El Autentiko,757K
ByTriXz [GD],750K
Benny Benni,733K
Ozunapr,721K
CautyTV,720K
Jorge Andrés,659K
Sammy & Falsetto,638K
YOVNGCHIMI,619K
Trap House Latino,599K
INDIOMAR,596K
Michael Vargas,587K
Asi se hizo,581K
Peter Schiff,573K
Barbie Rican,564K
LaCimaTV,563K
Son By 4,529K
Expansion Musical TV,522K
SinfonicoTV,515K
Norberto Vélez,501K
VF7 PR,497K
Hector Rivera,494K
Jovy Vlogs,490K
El Tipo OfficiaL,483K
divinomusic,479K
First Order Music,477K
Chente Ydrach Clips,465K
MannyMontesTV,452K
Arcangel Tube,450K
JRVstudio,441K
Villaa Oficial,440K
BeautyByMayely,434K
Lucha Libre Online,431K
EL JÍBARO MODERNO,427K
Nana meme :3,427K
KhrizyAngelTV,426K
Alvaro Diaz,425K
Harold Velazquez official,420K
Jossef,415K
Maiky Backstage,413K
Sie7e & The IslaNauts,412K
WILLIE GONZALEZ,409K
El Gran Combo de Puerto Rico,405K
Super Saiyan Flow Jon Z X Ele A El…,393K
NaturalSlim®,386K
Pacho El Antifeka,377K
Wapa TV,375K
Freestyle Mania Season,357K
El Viejardou,342K
Bass xtreme1,341K
EloyOfficial,338K
Atención Atención - Videos y can…,334K
Yaga & Mackie,334K
Hozwal,333K
Misuri Kiraika,319K
LYAN,318K
Dei V,313K
Ingrid Rosario Music,311K
JoJo Chan Shine,311K
Joel Alonso,304K
Trada Art,296K
Frank Suárez,289K
D.OZi,287K
Huracán Info,286K
Anonimus TV,286K
Tatito Tales,285K
Aires Esotéricos Tarot,284K
Alondra Michelle,282K
Rafa Pabon,281K
Carol Reyes,280K
Oasis Geek,277K
V1P3R,273K
La Patana Music,265K
Franco El Gorila,265K
compostapr,264K
Kevin Peña y Zuleyka Barreiro Min…,261K
Miguel Polo,260K
Gabriel EMC,259K
Waldys Off Road,253K
MALDY,251K
Naria Astryal,250K
Amarion,244K
JOSEPH FONSECA MUSIC,244K
Elysanij,239K
Full Harmony,239K
Musicologo,236K
Honeykam tv,232K
Young Martino,231K
Gabiilon,230K
?Sonic 123 Gamer?,229K
ChecheTV,228K
Montana The Producer,228K
ClassicsWWC,225K
Melvin Comedia,224K
Trap Cartel,221K
Trebol Clan,219K
YomoMusicOfficial,218K
Jaydan,217K
Roberto Lugo,217K
MoluscoTV 2,214K
Gabito Rodriguez,211K
TrashToy,209K
Magic Trap TV,209K
TRAFFIC-CHIC,200K
Vanessa Sonica,198K
Payasa Agapita,195K
OkenPR TV,195K
Dale Rewind,195K
starlight lyrics,195K
Santana The Golden Boy,194K
En La Intimidad TV,194K
JHC Beats,191K
Amando tu Hogar,188K
Rios,186K
White Lion Records,184K
M-Lee,184K
Villaa Sketch,179K
Leebrian Official,178K
El Tope 5,178K
lopz33,177K
El Lenguetero,177K
Veguzzi,176K
WhiteArrow,176K
lasectaallstar,174K
Ladymaria51,173K
Hear This TV,169K
TuSombra Ian,167K
Didi Romero,167K
Harry Santos,166K
Jking Maximan,164K
Off Road N Chill Español,163K
Just Some Memes,163K
Ed Medina,162K
Fuk Fake Music,162K
