Channel,Subs
奇軒Tricking,9.71M
Muse Asia,6.69M
Cdrama BOX,6.49M
Roman and Sharon,6.18M
Jay Lee Painting,5.83M
Songsong and Ermao,5.82M
葉式特工Yes Ranger,5.2M
Vidol TV,4M
【由你玩四年】官方频道,3.99M
Omeleto,3.71M
Namewee,3.61M
這群人TGOP,3.57M
Pan Piano,3.55M
滾石唱片 ROCK RECORDS,3.53M
瑪莎與熊 Masha and The Bear CH,3.52M
中天電視,3.29M
碰碰狐 鯊魚寶寶 (兒童兒�…,3.15M
阿神,3.14M
關鍵時刻,3.12M
NewShowBiz完全娛樂,3.04M
寶寶巴士 - 中文兒歌童謠 …,3.04M
Real Ultraman Short video,3.04M
周杰倫 Jay Chou,2.94M
Ahong & Life Experiment,2.9M
阿滴英文,2.77M
相信音樂BinMusic,2.75M
TVBS NEWS,2.59M
Joeman,2.57M
EHPMusicChannel,2.57M
Ru's Piano Ru味春捲,2.55M
三立新聞網SETN,2.52M
蔡阿嘎,2.51M
Lucas and Kibo,2.41M
中天新聞,2.41M
東森新聞 CH51,2.35M
木曜4超玩,2.34M
YoYo Arabic Channel,2.34M
捷成华视—偶像剧场 Idol &…,2.27M
Experimental power Mu Mu,2.27M
眾量級CROWD,2.26M
黃氏兄弟,2.23M
Terry Films,2.14M
华策影视青春剧场 HUACE GLO…,2.13M
暖暖Furbaby,2.12M
Muse木棉花-TW,2.06M
DE JuN,1.9M
台灣達人秀,1.88M
千千進食中,1.83M
PresentHunt,1.82M
Roman and Sharon shorts,1.8M
MASA,1.79M
华策影视官方频道 China Hua…,1.79M
福茂唱片,1.78M
STR Network,1.78M
三立LIVE新聞,1.76M
Ku's dream酷的夢-,1.73M
宇哥侃故事,1.71M
民視戲劇館 Formosa TV Dramas,1.65M
WACKYBOYS 反骨男孩,1.65M
健康2.0,1.63M
風傳媒 The Storm Media,1.61M
Wetube Group,1.6M
蔡阿嘎Life,1.6M
莫彩曦Hailey,1.59M
人生肥宅x尊,1.59M
白癡公主,1.58M
YOYOTV,1.58M
啾啾鞋,1.58M
華納音樂 Warner Music Taiwan,1.58M
周杰倫 Jay Chou,1.57M
黃阿瑪的後宮生活,1.57M
中時新聞網,1.55M
綜藝玩很大 Mr.Player,1.55M
老高夫妇,1.55M
華研國際,1.54M
77老大,1.54M
三原JAPAN Sanyuan_JAPAN,1.54M
阙佩琪,1.54M
HowFun,1.5M
亮生活 / Bright Side,1.5M
Hot Emma,1.47M
HOOK,1.47M
Allen Tsai,1.47M
Rosalina's Kitchen 蘿潔塔的廚…,1.46M
滴妹,1.45M
Andy & Popo,1.45M
少康戰情室 TVBS Situation Room,1.44M
角落動物TV Top animal world,1.44M
鲸,1.44M
Howwork X 六指淵,1.43M
天天看一廈,1.43M
cheap,1.42M
喪屍老爸,1.42M
Cate Food Travel 凱特食旅,1.42M
PAPAYA 電腦教室,1.41M
我的世界小救星,1.4M
志祺七七 X 圖文不符,1.39M
安啾咪,1.38M
GQ Taiwan,1.37M
好棒Bump,1.37M
墨鏡哥SG,1.36M
搞神馬,1.35M
Baby Mao TV,1.35M
BIBO 和玩具,1.34M
綜藝大熱門 Hot Door Night,1.34M
小玉,1.33M
狠愛演,1.33M
新聞大白話,1.31M
Onion Man,1.31M
韓勾ㄟ金針菇 찐쩐꾸,1.29M
放火 Louis,1.28M
魚乾,1.28M
詹姆士姆士流官方專屬頻�…,1.28M
NyoNyoTV妞妞TV,1.28M
錫蘭Ceylan,1.27M
聖結石Saint,1.27M
sandy mandy,1.26M
我愛貓大,1.25M
台視新聞 TTV NEWS,1.25M
三立iNEWS,1.25M
ASUS,1.23M
the劉沛,1.23M
黑男邱比特,1.22M
國家地理 National Geographic TW,1.21M
INFINI HD 4K ( dan201 ),1.2M
Eric周興哲,1.2M
牛排生活 Steak's Life,1.2M
超粒方,1.19M
VS MEDIA Taiwan,1.19M
SizeA4,1.19M
菜喳,1.18M
三度C,1.18M
B.C.&Lowy,1.17M
TTV 台視官方頻道 TTV Officia…,1.16M
眼球中央電視台,1.16M
Dcard Video,1.16M
玖壹壹,1.15M
Taiwan Bar,1.15M
玩樂三分鐘,1.15M
Angelic Music World,1.15M
胡子Huzi,1.14M
Ru儒哥,1.14M
理科太太 Li Ke Tai Tai,1.14M
頭條開講,1.14M
CaVa,1.14M
柯文哲,1.14M
館長成吉思汗,1.13M
巧克力,1.12M
鍾明軒,1.12M
楊桃美食網,1.11M
年代向錢看,1.11M
J-Bao賤葆,1.11M
大日宗 法身宗,1.11M
World of birds,1.11M
英雄日常Heroisme,1.09M
全球大視野,1.09M
那些電影教我的事 Lessons f…,1.09M
那個女生 Kiki,1.09M
民視新聞網 Formosa TV News ne…,1.08M
counter656,1.08M
舞秋風,1.08M
Hello Catie,1.08M
華視新聞 CH52,1.07M
大蛇丸,1.07M
Stopkiddinstudio,1.07M
窮奢極欲,1.07M
欸你這週要幹嘛,1.07M
唐綺陽官方專屬頻道,1.07M
Blu's Studio,1.06M
卡提諾狂新聞,1.06M
老皮,1.05M
蠢蠢,1.05M
馬臉姐,1.05M
刘哈哈Haha,1.04M
MediaTek,1.04M
三立華劇 SET Drama,1.04M
柴鼠兄弟 ZRBros,1.04M
含羞草,1.03M
微疼,1.03M
豪記唱片 HCM Music,1.02M
波特王好帥,1.02M
電獺少女-女孩的科技日常,1.02M
有感筆電 Daptoper,1.02M
小伶玩具 Xiaoling Toy,1.02M
Yahoo TV 一起看,1.01M
热剧君,1.01M
蔡桃貴,1.01M
TVBS 優選頻道- T觀點,1M
烏鴉DoKa TV,1M
黃大謙,996K
觀點,993K
VOGUE Taiwan,992K
三立台劇 SET Drama,984K
WeTV 台灣 - Get the WeTV APP,983K
蘋果新聞網,982K
ETtoday星光雲/官方平台,982K
五件小事,967K
Dream Chef Home 夢幻廚房在我…,967K
57爆新聞,964K
5分鐘DIY,964K
小白,963K
八大電視娛樂百分百,961K
蔡依林 Jolin Tsai,957K
三個字SunGuts,957K
USTV 非凡電視,956K
Odd Cactus,953K
Dinter,951K
