Channel,Subs
Diamond Platnumz,8.63M
Millard Ayo,4.9M
Rayvanny,4.88M
Global TV  Online,4.65M
Harmonize,4.39M
Wasafi Media,4.36M
Zuchu,3.15M
Dar news TV,2.77M
Mbosso,2.64M
Azam TV,2.54M
Yess jamal,2.09M
Alikiba,1.81M
Jaymondy,1.8M
Lava Lava,1.48M
Steve Mweusi,1.4M
BINGO ONLINE TZ,1.37M
Mbengo Tv,1.33M
Nandy - The African Princess,1.32M
CLOUDSMEDIA,1.28M
Алексей Знаков,1.27M
MariooOfficial,1.25M
Jamvi Online TV,1.2M
Rose Muhando Official,1.17M
Habari Digital,1.13M
Mwendokasi Tv,1.12M
Aslay,1.12M
EastAfricaTV,1.11M
JUX,1.11M
WANANCHI TV,1.08M
ITV Tanzania,1.03M
Joti TV,1.03M
Young Tubers,1.03M
CLAM VEVO,1.03M
BONGO NEWS TV,953K
bboynickyy,952K
Mwananchi Digital,933K
Zabron Singers,909K
Jay Melody,901K
JAMBO TV,880K
SamMisago,866K
TemuTV,860K
Rick Media,818K
Swahili Media,815K
Ophoro Tube,811K
BONGO FASTA,794K
Rama M,782K
Dizzim Online,759K
Africa indigenous culture,752K
TOP5 MEDIA,751K
Christina Shusho,748K
Triple_ Comedy,731K
Mwanahabari Digital,729K
Dar24 Media,698K
LI DANCER CHRIS,693K
Bongo Touch,689K
HB TV,688K
Africa  Life Experience,683K
Goodluck Gozbert,657K
Darassa,654K
Ibraah,642K
Kids Tv Africa - Katuni za Swahili,642K
Araem,632K
JAMII TV,627K
Hot Chamber,622K
Jenafa TV,602K
Mr Nay,598K
TANZA LIVE TV,595K
Taifa Digital,592K
MACHINGA TV,586K
TANGANIKA TELEVISION,583K
NYUMBANI SWAHILI TV,582K
HABARIMPYA TV,582K
Mtanzania Digital,582K
Kings Music Records,567K
Martha Mwaipaja,555K
Uhondo TV,544K
SIFAELI MWABUKA OFFICIAL,543K
LilOmmyTV,531K
FAFANUO MEDIA,528K
CHRISTOPHER MWAHANGILA Official,521K
Wanyabi,519K
TimesFMTZ,512K
KidaniStars,511K
BarnabaClassic,504K
DARLIVE TV,503K
Simba SC Tanzania,498K
Yanga TV,497K
Gilly Bonny Tv,488K
PTVTANZANIA online,482K
Maisha Magic Bongo,480K
Mpenja TV,473K
EastAfricaRadio,471K
DAR ONE TV,463K
FARIDA OTHMAN,461K
MkaliWenuOriginal,454K
Ika Malle,453K
NiaMedia (TZ),448K
Carrymastory,447K
Linconmedia,445K
Mpalla Updates,439K
Angel Nyigu,437K
Ommy Dimpoz,431K
Shutikali TV,426K
Maximum Tv Online,424K
Musa Kitale,416K
Cheka tu,415K
RAJO PRODUCTIONS,412K
Tricod Media,412K
Josephat Gwajima RudishaTv,411K
BongoStarSearch,407K
TanzaniaOne,403K
Uswege Murderer,403K
MASJID MTORO ONLINE TV,400K
HOME MEDIA,400K
Habari Kwanza,397K
MR BIGI BIGI,394K
Maua Sama,392K
YahStoneTown,390K
Kijiwe Chetu TV,386K
BONGOTIMES TV,384K
Bona Tv,382K
Billnass,378K
Stein Tv,377K
emma nassor,373K
dayo funny comedy,372K
Gina,371K
KTV TZ ONLINE,370K
Anjella,368K
Tiki Tv,368K
TBConline,367K
Romanus Tv,364K
Bomba Dear,359K
BONGO STAR MEDIA,359K
Matukio Online Tv,357K
Gangana Info Channel,356K
TALIKISIO Tv,355K
Dabo Life,353K
Usa River Tv,353K
Swahili Digital,353K
MBAVUMBILI BRAND,350K
RIVERWOOD BONGO MOVIES,347K
EXHIBIT LAUGHS,347K
Topten Tv,346K
kicheche,344K
Kaskazinimixtv,343K
Nitetee TV,343K
RUMAFRICA,342K
King Poo Tv,342K
ProfessorJay,340K
Rich Mavoko,339K
Macvoice,339K
Planta Media,334K
daima kiganjani,332K
BM TV TANZANIA,329K
COMEDY MPYA TV,328K
MC KATO KISHA,326K
SILA MEDIA,326K
Mc Gara B,325K
Gladness Kifaluka [ Pili Kitimtim ],325K
Mwanaharakati Digital,324K
Vanessa Mdee,323K
ASALI Online Tv,323K
DONTA TV,322K
Trend TV,320K
YPrince TZ,320K
Dr Ipyana,315K
Uhai Online Tv,312K
Kayumba,310K
Mavokali,309K
Ankoo zumo,308K
ASMA COMEDIAN,306K
Kusah,304K
Injili,303K
Lemutuz Online TV,303K
KIBWE ONLINE TV,302K
Beka Flavour,301K
Mkubwa na Wanawe,301K
Madebe Lidai,301K
Success Path Network,299K
TOP LEVEL Tz,298K
Jubon Online,297K
Birika Entertainment,296K
Msodoki Young Killer,294K
TANZANITE  MEDIA,293K
Babyzuchu,291K
keki plus,290K
Christian Bella,289K
BORAMEDIA,289K
Nyuki TV,288K
Swahili Cinema,287K
Whozu,287K
MwanaHALISI TV,286K
Wema Sepetu,285K
QueenDarleen,285K
Joel Lwaga,285K
CHEMBA TV,285K
Yuhoma online TV,281K
Dar Comedy,279K
Chege Chigunda,279K
Dina Marios tv,279K
Pastor Daniel Mgogo,279K
BONGO 24 NEWS,276K
Navy Kenzo,271K
CHAMWINO TV 1,270K
Mr. Jusam Elim,268K
HARUSI PAMBE,267K
Officialkilly,267K
Riyadh Tv Online Znz,266K
Kishki Online TV,266K
IBM CHANNEL,265K
zerobrainer0,264K
Phina,263K
TV3 TANZANIA,259K
DogoJanja,259K
Joniupdate,258K
Cheni tv Online,258K
Dulla Makabila,254K
Joel Nanauka,253K
Winner Media,252K
Chris Mauki,251K
BabaJoan,251K
Mid One TV,251K
REQUEST,251K
Afro Covers,251K
BOAZ DANKEN,250K
NDIZI MEDIA,249K
Mashariki TV,249K
Yohana Antony,249K
RosaRee,248K
Essence Of Worship Ministries,248K
Crest Tv Tanzania,247K
Annoint Amani,245K
LOLEZA TV,245K
Hashim Online Tv,243K
DAUDA TV,241K
Dream Online Tv,240K
Dar es salaam Tv,240K
D Voice,240K
Boncena got Talent,238K
ANIMATION GAMES TV,238K
Hamisa Mobetto,238K
GeorDavie TV,237K
MATUKIO DAIMA TV,236K
Ibrahim Zancom,234K
BABDEO MILADU,233K
MKOJANI GANG,233K
SIMU. Tv,232K
ELIMU YA GIZA,231K
Mweusi Family,231K
Ben Pol,230K
ARISE AND SHINE TANZANIA,230K
Billionea Kid,230K
NIANIMAARIFA,229K
Dailydrop TV,229K
Duma Tv,228K
MbeyaYetuOnlineTV,228K
Tricod Center,225K
MONKEY STORIES,225K
Masanja TV,225K
WCB WASAFI,225K
OSO ONLINE TV,223K
SYLI CLASSIC TV,223K
KONCEPT TV,222K
TZ Trends,222K
Dozen Selection,221K
BONGO TRENDY TV,220K
ZamaradiTV,219K
Msafi Media,216K
CHATUMANDOTA,216K
Ndaro Tz,214K
Saimu gwao Online tv,214K
Chuga Comedy Tanzania,213K
