Channel,Subs
Rico Animations,7.75M
Masaka Kids Afrikana,3.81M
Eddy Kenzo,2.35M
The Kakande Ministries,1.85M
Angella Summer Namubiru,1.81M
UGXTRA COMEDY,1.52M
Kansiime Anne,1.36M
Triplets Ghetto Kids,1.31M
THE GAMER KH,1.12M
NTVUganda,1.03M
Gavana worldwide ?,982K
Afro Generals,930K
Alfedov,802K
StarTimes Official,798K
Kapata Africana Kids,711K
Bukedde TV,685K
Galaxy Foundation,675K
NATION INFINITY AFRICA,672K
Masaka Kids Africana Music,582K
KILA COVERS,562K
Sheebah,555K
Next Media Uganda,547K
Akawungeezi,505K
Spice Diana,500K
Jose Chameleone,495K
Powers Tv,475K
Maraki English with abi,471K
Robert MUGENYI Musenze,459K
Chikzy,456K
TRUST FILMS,454K
BEST SHOOTS Official,449K
BBS TEREFAYINA,446K
Bwengula Circus Kids,443K
Bash Luks,435K
ASK Dr UTHUMAN,434K
Farm Up,421K
JEHOVAH SHALOM A CAPELLA,399K
Smash Talent Kids Africa,396K
Pallaso,373K
Aahan Jasoliya,369K
Mr. IsHaN,366K
David Lutalo,362K
Teacher Mpamire,358K
Reach And Raise Foundation,352K
Vybz Entertainer,350K
BOBI WINE,340K
Aim Armstrong,336K
2GB Soldier Official,334K
Kila Africana Kids,332K
Ben - LIVE,327K
Princess Jane Yiga,324K
PROCLAIM MKC,316K
RADIÒ ànd WEASEL Goodlyfe,310K
Kookie Promotions,310K
Anglais avec Iliass,301K
LyricsFeverReborn,299K
Bebe Cool,292K
Swangz Avenue,288K
PHARX FAM,286K
Bizonto Comedy,284K
Kawaala boyz Ent,282K
GASARO TV,280K
Naana,275K
SB4 Media Tuggusa Ensonga,270K
Cavton Music UG,269K
Ykee Benda,248K
GALAXY FM TV,248K
What's Happening Media,236K
Fik Fameica,230K
Denis Duke Uganda,230K
Allan Children’s Foundation,222K
Leoboymatic,222K
Praise and Worship Uganda,221K
Ugandan Lifestyle,220K
WOLOKOSO Mu Ug Extra,218K
JamesDaniellaTv,217K
B2C,216K
KK Tv Uganda,215K
KOJJA ALLAN OMUMANYI NE SSENGA,206K
Value Farm,203K
Ariel Wayz,203K
DITEPU MOVIES CHANNEL 1,202K
Zaki honest Official,199K
Grandson,197K
Juliana Kanyomozi,197K
Executive Media,196K
MAULANA AND REIGN UG OFFICIAL,196K
TOPLINE TV,195K
MANYA BINO MUSAWO MERCY,194K
The Ugandan Stance,193K
Gossip Live,193K
Azawi,192K
Phaneroo Ministries International,191K
Rwanda Yacu TV,188K
Швейное рукоделие,188K
BTN TV Rwanda,187K
LooperBlox,182K
UGXTRA CELEBRITY BUZZ,181K
MUHIDDIN07,181K
OGA PROMO Ug,177K
Kwasa Genesis,177K
CELEBRITY TRACK UG,177K
Mutundwe Christian Fellowship,176K
CRUZ XCLUSIVE,173K
Pastor Wilson Bugembe,172K
SMX MEDIA,170K
Comedy Files,168K
CHALA VIDZ,168K
ABS TV UGANDA OFFICAL,168K
Saymore Official,164K
The BossPapa,164K
wewunyiseomwagalwaawo Surprise you…,162K
DabaGalka Wararka,160K
Uganda Empya,160K
UBC Television Uganda,159K
New Vision TV,158K
King Saha Official,158K
Vinka,155K
Shan Joe,155K
NEWSUPDATES  - STAMZNOW,152K
KAPYATA ONLINE,152K
Black Magic Entertainment,152K
NDIMBA-TV,149K
JB Muwonge,146K
Wi Link,146K
Chris Evans Kaweesi,146K
JoziWan,145K
Acholi Pride,145K
John Blaq Music,141K
Muhwezi Patrick,141K
Aromatic Entertainment,140K
LOG ON TV SENGEJJA ENSONGA,140K
Wonderboy Ug Media,139K
Webbie - UG,139K
HOT NEWS UG,139K
KKOOTI YAMAKA STAR FM,139K
MORRISH TEN COMEDY,138K
Katusekemu,136K
BRENNAN BABY,135K
URBAN TV UGANDA,134K
OMUKWANO MUKISENGE,132K
shylercrochets,132K
Daring For More,130K
Radio Rwanda,130K
James Phred Kawalya .,129K
Vic Exclusive,129K
YAMBI TV Official,129K
"dr. KANSIIWA herbalist, official v…",126K
Kyayi Tea,125K
Khey Pard,125K
Kasuku Live,124K
Watoto,122K
DR-TIMAJILAC,122K
TAATA SAM COMEDY HOUSE,121K
Ntaate,121K
Alien Skin OFFICIAL,121K
CAAN TV,120K
CelebJazz With KingSmith,120K
SlimDoPe Lyrics,118K
Chosen Becky,117K
Ideal Channel,117K
Shyler crochets,116K
Racheal M Ug,114K
GOSSIP SPOT RELOADED,114K
LM TV,113K
Eco Adventure Safaris,112K
Geosteady,112K
Kenganda,111K
Bro Ronnie Makabai,111K
KATEMBA 256 COMEDY TV,110K
BCM UGANDA,110K
Hymnos,109K
Mesach Semakula,109K
Home Workout Junkie,109K
OPM Top Song,109K
EBIPYA 256,108K
hitesh patel,107K
Ziza Bafana,105K
Prophet Elvis Mbonye,104K
GRAVITY OMUTUJJU,104K
The African Script,103K
DIGITAL MEDIA,103K
Cindy Sanyu.,102K
An-Known,102K
CHE MANDOTA COMEDIES,101K
Salt Media Uganda,100K
Husein Kurdi,100K
Ronnix Photography,99.1K
Media Choice Television,98.4K
Essie News Ug,98.1K
MK TRINITY UGANDA FILMS,97.4K
Bruce Melodie.,97.4K
Swengere Family,97.2K
PROJOURN MEDIA TV,97.2K
African nyako,96.3K
Maureen Nantume,96.1K
M.E Media Ug,95.3K
MEGATRON MEDIA,94.6K
KOJJA AND SSENGA GUNSIIWA,93.8K
me_feelingz,93.6K
QARAAM CHANNEL,93K
Ugandan Catholics Online,92.9K
Betty Muwanguzi Official,92.5K
AAUU PRO,92.5K
Sylver Kyagulanyi OFFICIAL,92.4K
zuula amazima express,92.1K
Uganda at large,91.2K
BBS Terefayina 2,90.4K
Dj Tonny Omubanda 256,89.2K
Winnie Nwagi,88.3K
ADH,87.6K
Mudra D Viral,86.9K
MUTEBI FAROOQ,86.6K
RONALD ALIMPA,86.5K
Sulabuay Events,86.1K
Legit Tv 256,85.9K
Okafo the African Boy,85.6K
Joziwan Daily,85.6K
Mutalemwa Sports Betting Tips,84.5K
DR.PIRITON UG,84.3K
Clovis Clogram Tv,84K
Banyakitara Film Stars With Mushan…,84K
