Channel,Subs
Trippie SB,9.09M
Dosogas,5.54M
urugoddos,5.54M
HOMEROURU,3.29M
GekkoH,3.02M
KAMIKAZE,2.62M
Fer Vazquez,1.98M
PabLoAnima,1.89M
Marama MusicaOficial,1.88M
Soy Junior Finanzas,1.88M
Alita Moli,1.53M
Agus Padilla,1.49M
No Te Va Gustar,1.25M
Montevideo Music Group,1.22M
sgodxd,1.2M
Mundo N,1.18M
Alaska,1.17M
AFP Español,1.16M
مارلين___UR,1.14M
Parafantástico,1.06M
Gupae,1.05M
VIVIR VIAJANDO,1.03M
Lucas Sugo,932K
Fede Puñales,850K
Voces Anónimas,829K
Mary Mardorre,808K
maticabax,763K
AlePlay,726K
urugodd,722K
Gonzalo Ré,691K
GonzaaFonseca11,674K
Black Studio,637K
Waikol,628K
ElReja,568K
Super Interesante,566K
gabrieldasilvavideos,544K
Pekeño 77,531K
Elias Maximiliano,511K
JESUS CAMINO VERDAD Y VIDA,472K
COMUNIDAD Anam Cara,465K
Artes Marciales EL FARAON,438K
Mano Arriba,408K
PDL Gameplays,406K
TocoParaVos,388K
Tarot  médium Macarena Brittos,366K
La Mano de los Memes,362K
Zona Hardware,357K
Tatu Varieté,349K
CR7Studios7,344K
Ziksua,342K
C A S M Y,337K
Doble HH,334K
ᵐⁱⁿⁱ MOVIE en español,327K
Cafecito y Tarot,322K
Los Hilos de Lucas,322K
Cuentos Medio de Miedo,321K
♥ Luz ASMR ♥,306K
tuss chismesitos,305K
Gabriel Santos Bouzón,299K
Canal 4,293K
Agustín Casanova,290K
Olvidate!,283K
Tiempo de Emprender,282K
DJ CHULIN,279K
Daryusuke,278K
urugoddsito,277K
Lube Music,272K
FedeRabaquino,269K
Cata. Siri - TAROT EL MENSAJERO,269K
Los Mismos De Siempre,266K
Renattps,264K
Luli Lamas,263K
La Solución construcciones,256K
Desayunos Informales,255K
ElRussoTrap,255K
Claro UY,248K
Kayro3TFT,248K
VSP7 FOOTBALL EXTRA,241K
Contacto Eduardo Batista,236K
Tenfieldoficial,232K
Mototaller AP Motos,225K
Creaciones Gabriela,220K
SubliPlantillas,220K
Carpintería en Casa - De Planos a…,219K
Jozhi7,212K
El Tarot de Caro de Salhes,210K
falsofacu,210K
fans de animalize21,209K
Juega y Diviertete con Vicky,207K
Matías Valdez,203K
Got Talent Uruguay,202K
JASA MUSIC,198K
Савромат,196K
